case	source_log	evidence
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.34 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.34 node=10
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.36 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.36 node=4
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.36 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.36 node=10
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=4
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.38 node=10
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=4
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.4 node=10
