step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
RELAX_FAST,4,0.30000000447034836,1,2,0.0047886751345948145,0.0021343811405923688,5763926.3519128617,13347769.186721532,5763926.3519128617,-4.1947286496414056e-24,3.0417690322542175e-05,0.00988941337557382,3.0417690322542175e-05,-5.4531472445338285e-33,nan,nan,nan,nan,nan,-3.0417690322542175e-05,6.0835380645084364e-05,-3.0417690322542175e-05,-5.0473339109660008e-35,6.083538064508435e-05
RELAX_FAST,4,0.30000000447034836,1,3,0.0042113248654051857,0.0079656188594076308,5849033.5994120669,13177554.691723127,5849033.5994120669,-1.0861338341577913e-24,0.00014105711207150847,0.0096681345320758887,0.00014105711207150847,-1.4119739844051291e-33,nan,nan,nan,nan,nan,-0.00014105711207150847,0.00028211422414301695,-0.00014105711207150847,-6.271670642942996e-35,0.00028211422414301695
RELAX_FAST,4,0.30000000447034836,1,4,0.0047886751345948154,0.0079656188594076308,5791394.16534587,13292833.559855517,5791394.16534587,-1.1117614357157735e-24,6.6125847785453e-05,0.009817997060647999,6.6125847785453e-05,-1.4452898664305057e-33,nan,nan,nan,nan,nan,-6.6125847785453e-05,0.00013225169557090603,-6.6125847785453e-05,-2.9400824404054321e-35,0.00013225169557090603
RELAX_SLOW,0,0.30000000447034836,1,1,0.0042113248654051857,0.0021343811405923688,5751196.8775827875,13373228.135381691,5751196.8775827875,-4.2158511960194103e-24,1.3869373693442797e-05,0.0099225100088320209,1.3869373693442797e-05,-5.4806065548252344e-33,nan,nan,nan,nan,nan,-1.3869373693442797e-05,2.77387473868856e-05,-1.3869373693442797e-05,-2.3014028818254801e-35,2.77387473868856e-05
RELAX_SLOW,0,0.30000000447034836,1,2,0.0047886751345948145,0.0021343811405923688,5763926.3519128617,13347769.186721532,5763926.3519128617,-4.1947286496414056e-24,3.0417690322542175e-05,0.00988941337557382,3.0417690322542175e-05,-5.4531472445338285e-33,nan,nan,nan,nan,nan,-3.0417690322542175e-05,6.0835380645084364e-05,-3.0417690322542175e-05,-5.0473339109660008e-35,6.083538064508435e-05
RELAX_SLOW,0,0.30000000447034836,1,3,0.0042113248654051857,0.0079656188594076308,5849033.5994120669,13177554.691723127,5849033.5994120669,-1.0861338341577913e-24,0.00014105711207150847,0.0096681345320758887,0.00014105711207150847,-1.4119739844051291e-33,nan,nan,nan,nan,nan,-0.00014105711207150847,0.00028211422414301695,-0.00014105711207150847,-6.271670642942996e-35,0.00028211422414301695
RELAX_SLOW,0,0.30000000447034836,1,4,0.0047886751345948154,0.0079656188594076308,5791394.16534587,13292833.559855517,5791394.16534587,-1.1117614357157735e-24,6.6125847785453e-05,0.009817997060647999,6.6125847785453e-05,-1.4452898664305057e-33,nan,nan,nan,nan,nan,-6.6125847785453e-05,0.00013225169557090603,-6.6125847785453e-05,-2.9400824404054321e-35,0.00013225169557090603
RELAX_SLOW,1,0.5000000074505806,1,1,0.0042113248654051857,0.0021343811405923688,5761732.0619906001,13352157.766566068,5761732.0619906001,-4.1983697262049757e-24,2.7565113423599829e-05,0.0098951185293717075,2.7565113423599829e-05,-5.4578806440664687e-33,nan,nan,nan,nan,nan,-2.7565113423599829e-05,5.5130226847199671e-05,-2.7565113423599829e-05,-4.5739939577020326e-35,5.513022684719967e-05
RELAX_SLOW,1,0.5000000074505806,1,2,0.0047886751345948145,0.0021343811405923688,5786675.9692158494,13302269.952115554,5786675.9692158494,-4.1569792631306948e-24,5.9992192816427718e-05,0.0098302643705860497,5.9992192816427718e-05,-5.4040730420699046e-33,nan,nan,nan,nan,nan,-5.9992192816427718e-05,0.00011998438563285545,-5.9992192816427718e-05,-9.9547541573583816e-35,0.00011998438563285544
RELAX_SLOW,1,0.5000000074505806,1,3,0.0042113248654051857,0.0079656188594076308,5944161.342414475,12987299.205718309,5944161.342414475,-1.0438382090484969e-24,0.00026472317797463993,0.0094208024002696254,0.00026472317797463993,-1.3569896717630455e-33,nan,nan,nan,nan,nan,-0.00026472317797463993,0.00052944635594927996,-0.00026472317797463993,-1.1770101907151354e-34,0.00052944635594928
