step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
RELAX_SLOW,0,0.30000000447034836,1,1,0.0042113248654051857,0.0021132486540518503,5780041.804241742,13439916.391516516,5780041.8042417411,-4.2625820083036253e-24,1.4054345514265e-05,0.0099718913089714718,1.4054345514263921e-05,-5.5413566107947137e-33,nan,nan,nan,nan,nan,-1.4054345514263916e-05,2.8108691028527839e-05,-1.4054345514263921e-05,-1.7576742533660352e-35,2.810869102852784e-05
RELAX_SLOW,0,0.30000000447034836,1,2,0.0047886751345948145,0.0021132486540518503,5793013.8752047485,13413972.249590507,5793013.8752047475,-4.2463644085148882e-24,3.0918037766171637e-05,0.0099381639244676603,3.0918037766170566e-05,-5.5202737310693552e-33,nan,nan,nan,nan,nan,-3.0918037766170553e-05,6.1836075532341133e-05,-3.0918037766170566e-05,-3.8659622259019184e-35,6.183607553234113e-05
RELAX_SLOW,0,0.30000000447034836,1,3,0.0042113248654051857,0.0078867513459481495,5881715.2683045482,13236569.463390913,5881715.2683045464,-1.1081584823731462e-24,0.00014622984879591008,0.0097075403024081842,0.00014622984879590926,-1.4406060270850903e-33,nan,nan,nan,nan,nan,-0.00014622984879590921,0.00029245969759181847,-0.00014622984879590926,-4.8905675717692401e-35,0.00029245969759181847
RELAX_SLOW,0,0.30000000447034836,1,4,0.0047886751345948154,0.0078867513459481495,5821266.5569596412,13357466.886080718,5821266.5569596402,-1.1283527434268892e-24,6.7646524047534123e-05,0.0098647069519049325,6.7646524047533269e-05,-1.466858566454956e-33,nan,nan,nan,nan,nan,-6.7646524047533255e-05,0.00013529304809506654,-6.7646524047533269e-05,-2.265313634781199e-35,0.00013529304809506657
RELAX_SLOW,1,0.5000000074505806,1,1,0.0042113248654051857,0.0021132486540518503,5790790.2160595115,13418419.567880979,5790790.2160595106,-4.2446381165426414e-24,2.8027280877363913e-05,0.0099439454382452743,2.8027280877362839e-05,-5.5180295515054342e-33,nan,nan,nan,nan,nan,-2.8027280877362829e-05,5.6054561754725672e-05,-2.8027280877362839e-05,-4.0903801822939955e-35,5.605456175472567e-05
RELAX_SLOW,1,0.5000000074505806,1,2,0.0047886751345948145,0.0021132486540518503,5816487.3954468165,13367025.209106373,5816487.3954468155,-4.2071263825337382e-24,6.1433614080859967e-05,0.0098771327718382828,6.1433614080858896e-05,-5.4692642972938596e-33,nan,nan,nan,nan,nan,-6.1433614080858882e-05,0.00012286722816171779,-6.1433614080858896e-05,-8.9669056034514553e-35,0.0001228672281617178
RELAX_SLOW,1,0.5000000074505806,1,3,0.0042113248654051857,0.0078867513459481495,5987034.0208556475,13025931.958288711,5987034.0208556475,-1.0605532413051048e-24,0.00028314422711234075,0.0094337115457753234,0.00028314422711233993,-1.3787192136966365e-33,nan,nan,nan,nan,nan,-0.00028314422711233988,0.00056628845422467987,-0.00028314422711233993,-1.1079248910614614e-34,0.0005662884542246799
RELAX_SLOW,1,0.5000000074505806,1,4,0.0047886751345948154,0.0078867513459481495,5871791.6645451514,13256416.670909695,5871791.6645451505,-1.1056582257921523e-24,0.00013332916390869733,0.009733341672182606,0.00013332916390869652,-1.4373556935297982e-33,nan,nan,nan,nan,nan,-0.00013332916390869647,0.00026665832781739304,-0.00013332916390869652,-5.2156009272969815e-35,0.00026665832781739304
RELAX_SLOW,2,0.7000000104308128,1,1,0.0042113248654051857,0.0021132486540518503,5801439.3361966219,13397121.327606756,5801439.3361966209,-4.2268599868682501e-24,4.1871137055608947e-05,0.0099162577258887843,4.1871137055607876e-05,-5.494917982928725e-33,nan,nan,nan,nan,nan,-4.1871137055607863e-05,8.3742274111215739e-05,-4.1871137055607876e-05,-6.4015370399648864e-35,8.374227411121574e-05
RELAX_SLOW,2,0.7000000104308128,1,2,0.0047886751345948145,0.0021132486540518503,5839475.697410265,13321048.605179474,5839475.697410265,-4.168699441009738e-24,9.1318406633344505e-05,0.0098173631867333137,9.1318406633343434e-05,-5.4193092733126598e-33,nan,nan,nan,nan,nan,-9.1318406633343421e-05,0.0001826368132666869,-9.1318406633343434e-05,-1.3962408001571399e-34,0.00018263681326668687
