step,node,temperature,rfl,u1,u2,u3
REFERENCE,255,300,2.117304467709509e-22,0,0,0
REFERENCE,256,301,1085445.8272886225,0,0,0
REFERENCE,257,311,792143.22537145112,0,0,0
REFERENCE,258,330,-3.0897279679782618e-19,0,0,0
REFERENCE,259,350,-1.6435044338596994e-19,0,0,0
REFERENCE,260,370,-8.7557470822638531e-20,0,0,0
REFERENCE,261,390,8.0782405665539405e-20,0,0,0
REFERENCE,262,410,1.8008725345161394e-19,0,0,0
REFERENCE,263,430,3.543599471805295e-19,0,0,0
REFERENCE,264,450,3.3232700075604428e-19,0,0,0
REFERENCE,265,310,-3.9004768830147288e-19,0,0,0
REFERENCE,266,331,817972.64412763936,0,0,0
REFERENCE,267,350,-1.6369208660566809e-19,0,0,0
REFERENCE,268,370,-8.7919848171379192e-20,0,0,0
REFERENCE,269,390,7.9998202019288657e-20,0,0,0
REFERENCE,270,410,1.8066907703238468e-19,0,0,0
REFERENCE,271,430,3.5429349904356919e-19,0,0,0
REFERENCE,272,450,3.3251131867914519e-19,0,0,0
REFERENCE,273,310,-3.9143870645325654e-19,0,0,0
REFERENCE,274,330,-3.0970545816931765e-19,0,0,0
REFERENCE,275,351,703216.73170338618,0,0,0
REFERENCE,276,370,-8.6468218459605136e-20,0,0,0
REFERENCE,277,390,7.9823386506770355e-20,0,0,0
REFERENCE,278,410,1.7962725481771963e-19,0,0,0
REFERENCE,279,430,3.548543632845138e-19,0,0,0
REFERENCE,280,450,3.3259245043807434e-19,0,0,0
REFERENCE,281,310,-3.9089911740406144e-19,0,0,0
REFERENCE,282,330,-3.1018660324916468e-19,0,0,0
REFERENCE,283,350,-1.6272160197375429e-19,0,0,0
REFERENCE,284,371,820469.03743712942,0,0,0
REFERENCE,285,390,7.9575297884983138e-20,0,0,0
REFERENCE,286,410,1.7989420068917104e-19,0,0,0
REFERENCE,287,430,3.5428559032728017e-19,0,0,0
REFERENCE,288,450,3.3320573341440609e-19,0,0,0
REFERENCE,289,310,-3.9052301643557073e-19,0,0,0
REFERENCE,290,330,-3.1023232857817168e-19,0,0,0
REFERENCE,291,350,-1.643937725270434e-19,0,0,0
REFERENCE,292,370,-8.8388477634688626e-20,0,0,0
REFERENCE,293,391,924536.74051885388,0,0,0
REFERENCE,294,410,1.8113284635426418e-19,0,0,0
REFERENCE,295,430,3.5438789075708632e-19,0,0,0
REFERENCE,296,450,3.3312001710969011e-19,0,0,0
REFERENCE,297,310,-3.9123787146753781e-19,0,0,0
REFERENCE,298,330,-3.095811563831192e-19,0,0,0
REFERENCE,299,350,-1.6460960703413921e-19,0,0,0
REFERENCE,300,370,-8.8089277648546534e-20,0,0,0
REFERENCE,301,390,8.1113143536213131e-20,0,0,0
REFERENCE,302,411,975489.9903406715,0,0,0
REFERENCE,303,430,3.555212507493423e-19,0,0,0
REFERENCE,304,450,3.3265263601055982e-19,0,0,0
REFERENCE,305,310,-3.9141852705886709e-19,0,0,0
REFERENCE,306,330,-3.104100836921714e-19,0,0,0
REFERENCE,307,350,-1.6383584788758024e-19,0,0,0
REFERENCE,308,370,-8.815123733067667e-20,0,0,0
REFERENCE,309,390,7.991483861879908e-20,0,0,0
REFERENCE,310,410,1.8106790142910286e-19,0,0,0
REFERENCE,311,431,848935.24685077136,0,0,0
REFERENCE,312,450,3.3349630028024338e-19,0,0,0
REFERENCE,313,310,-3.9141448225535725e-19,0,0,0
REFERENCE,314,330,-3.1015527282861119e-19,0,0,0
REFERENCE,315,350,-1.6406076950603794e-19,0,0,0
REFERENCE,316,370,-8.7194103015566088e-20,0,0,0
REFERENCE,317,390,8.068395619939545e-20,0,0,0
REFERENCE,318,410,1.8023627791831166e-19,0,0,0
REFERENCE,319,430,3.5553329150823766e-19,0,0,0
REFERENCE,320,451,940719.7169834841,0,0,0
REFERENCE,321,311,803761.326010252,0,0,0
REFERENCE,322,330,-3.0897279679782305e-19,0,0,0
REFERENCE,323,350,-1.6435044338596772e-19,0,0,0
REFERENCE,324,370,-8.7557470822638977e-20,0,0,0
REFERENCE,325,390,8.0782405665534746e-20,0,0,0
REFERENCE,326,410,1.8008725345161118e-19,0,0,0
REFERENCE,327,430,3.543599471805282e-19,0,0,0
REFERENCE,328,450,3.3232700075604264e-19,0,0,0
REFERENCE,329,310,-3.900476883014748e-19,0,0,0
REFERENCE,330,331,851782.18008492456,0,0,0
REFERENCE,331,350,-1.6369208660567031e-19,0,0,0
REFERENCE,332,370,-8.7919848171379228e-20,0,0,0
REFERENCE,333,390,7.9998202019293605e-20,0,0,0
REFERENCE,334,410,1.8066907703238384e-19,0,0,0
REFERENCE,335,430,3.5429349904357116e-19,0,0,0
REFERENCE,336,450,3.3251131867914162e-19,0,0,0
REFERENCE,337,310,-3.9143870645325616e-19,0,0,0
REFERENCE,338,330,-3.0970545816930884e-19,0,0,0
REFERENCE,339,351,751035.46945922601,0,0,0
REFERENCE,340,370,-8.6468218459610191e-20,0,0,0
REFERENCE,341,390,7.9823386506770644e-20,0,0,0
REFERENCE,342,410,1.7962725481771354e-19,0,0,0
REFERENCE,343,430,3.5485436328450981e-19,0,0,0
REFERENCE,344,450,3.3259245043807655e-19,0,0,0
REFERENCE,345,310,-3.9089911740406558e-19,0,0,0
REFERENCE,346,330,-3.1018660324915655e-19,0,0,0
REFERENCE,347,350,-1.6272160197374673e-19,0,0,0
REFERENCE,348,371,898140.10631449916,0,0,0
REFERENCE,349,390,7.9575297884981574e-20,0,0,0
REFERENCE,350,410,1.7989420068916563e-19,0,0,0
REFERENCE,351,430,3.5428559032727492e-19,0,0,0
REFERENCE,352,450,3.3320573341440913e-19,0,0,0
REFERENCE,353,310,-3.9052301643556957e-19,0,0,0
REFERENCE,354,330,-3.1023232857815984e-19,0,0,0
REFERENCE,355,350,-1.6439377252704523e-19,0,0,0
REFERENCE,356,370,-8.8388477634697871e-20,0,0,0
REFERENCE,357,391,1036713.8650351409,0,0,0
REFERENCE,358,410,1.8113284635426184e-19,0,0,0
REFERENCE,359,430,3.5438789075708445e-19,0,0,0
REFERENCE,360,450,3.3312001710969295e-19,0,0,0
REFERENCE,361,310,-3.9123787146754436e-19,0,0,0
REFERENCE,362,330,-3.0958115638311568e-19,0,0,0
REFERENCE,363,350,-1.6460960703414704e-19,0,0,0
REFERENCE,364,370,-8.8089277648556031e-20,0,0,0
REFERENCE,365,390,8.111314353622057e-20,0,0,0
REFERENCE,366,411,1119862.5089110879,0,0,0
REFERENCE,367,430,3.5552125074934528e-19,0,0,0
REFERENCE,368,450,3.3265263601056435e-19,0,0,0
REFERENCE,369,310,-3.9141852705886882e-19,0,0,0
REFERENCE,370,330,-3.1041008369216996e-19,0,0,0
REFERENCE,371,350,-1.6383584788758086e-19,0,0,0
REFERENCE,372,370,-8.8151237330682171e-20,0,0,0
REFERENCE,373,390,7.991483861879713e-20,0,0,0
REFERENCE,374,410,1.8106790142910272e-19,0,0,0
REFERENCE,375,431,997215.93663403974,0,0,0
REFERENCE,376,450,3.334963002802506e-19,0,0,0
REFERENCE,377,310,-3.9141448225535692e-19,0,0,0
REFERENCE,378,330,-3.1015527282861384e-19,0,0,0
REFERENCE,379,350,-1.6406076950603395e-19,0,0,0
REFERENCE,380,370,-8.7194103015564174e-20,0,0,0
REFERENCE,381,390,8.0683956199389287e-20,0,0,0
REFERENCE,382,410,1.8023627791831416e-19,0,0,0
REFERENCE,383,430,3.5553329150823361e-19,0,0,0
REFERENCE,384,451,1130117.9533361462,0,0,0
REFERENCE,385,301,375000,0,0,0
REFERENCE,386,300,-1.3541666666666666e-21,0,0,0
REFERENCE,387,300,-1.5625e-21,0,0,0
REFERENCE,388,300,5.2083333333333338e-22,0,0,0
REFERENCE,389,300,5.2083333333333338e-22,0,0,0
REFERENCE,390,300,-1.5625e-21,0,0,0
REFERENCE,391,300,-5.2083333333333338e-22,0,0,0
REFERENCE,392,300,3.1249999999999998e-22,0,0,0
REFERENCE,393,300,-1.3541666666666666e-21,0,0,0
REFERENCE,394,301,375000,0,0,0
REFERENCE,395,300,5.2083333333333338e-22,0,0,0
REFERENCE,396,300,-1.5625e-21,0,0,0
REFERENCE,397,300,-1.5625e-21,0,0,0
REFERENCE,398,300,5.2083333333333338e-22,0,0,0
REFERENCE,399,300,3.1249999999999998e-22,0,0,0
REFERENCE,400,300,-5.2083333333333338e-22,0,0,0
REFERENCE,401,300,-1.5625e-21,0,0,0
REFERENCE,402,300,5.2083333333333338e-22,0,0,0
REFERENCE,403,301,375000,0,0,0
REFERENCE,404,300,-1.3541666666666666e-21,0,0,0
REFERENCE,405,300,-5.2083333333333338e-22,0,0,0
REFERENCE,406,300,3.1249999999999998e-22,0,0,0
REFERENCE,407,300,5.2083333333333338e-22,0,0,0
REFERENCE,408,300,-1.5625e-21,0,0,0
REFERENCE,409,300,5.2083333333333338e-22,0,0,0
REFERENCE,410,300,-1.5625e-21,0,0,0
REFERENCE,411,300,-1.3541666666666666e-21,0,0,0
REFERENCE,412,301,375000,0,0,0
REFERENCE,413,300,3.1249999999999998e-22,0,0,0
REFERENCE,414,300,-5.2083333333333338e-22,0,0,0
REFERENCE,415,300,-1.5625e-21,0,0,0
REFERENCE,416,300,5.2083333333333338e-22,0,0,0
REFERENCE,417,300,5.2083333333333338e-22,0,0,0
REFERENCE,418,300,-1.5625e-21,0,0,0
REFERENCE,419,300,-5.2083333333333338e-22,0,0,0
REFERENCE,420,300,3.1249999999999998e-22,0,0,0
REFERENCE,421,301,375000,0,0,0
REFERENCE,422,300,-1.3541666666666666e-21,0,0,0
REFERENCE,423,300,-1.5625e-21,0,0,0
REFERENCE,424,300,5.2083333333333338e-22,0,0,0
REFERENCE,425,300,-1.5625e-21,0,0,0
REFERENCE,426,300,5.2083333333333338e-22,0,0,0
REFERENCE,427,300,3.1249999999999998e-22,0,0,0
REFERENCE,428,300,-5.2083333333333338e-22,0,0,0
REFERENCE,429,300,-1.3541666666666666e-21,0,0,0
REFERENCE,430,301,375000,0,0,0
REFERENCE,431,300,5.2083333333333338e-22,0,0,0
REFERENCE,432,300,-1.5625e-21,0,0,0
REFERENCE,433,300,-5.2083333333333338e-22,0,0,0
REFERENCE,434,300,3.1249999999999998e-22,0,0,0
REFERENCE,435,300,5.2083333333333338e-22,0,0,0
REFERENCE,436,300,-1.5625e-21,0,0,0
REFERENCE,437,300,-1.5625e-21,0,0,0
REFERENCE,438,300,5.2083333333333338e-22,0,0,0
REFERENCE,439,301,375000,0,0,0
REFERENCE,440,300,-1.3541666666666666e-21,0,0,0
REFERENCE,441,300,3.1249999999999998e-22,0,0,0
REFERENCE,442,300,-5.2083333333333338e-22,0,0,0
REFERENCE,443,300,-1.5625e-21,0,0,0
REFERENCE,444,300,5.2083333333333338e-22,0,0,0
REFERENCE,445,300,5.2083333333333338e-22,0,0,0
REFERENCE,446,300,-1.5625e-21,0,0,0
REFERENCE,447,300,-1.3541666666666666e-21,0,0,0
REFERENCE,448,301,375000,0,0,0
REFERENCE,449,311,371562.5,0,0,0
REFERENCE,450,330,-1.0968749999999999e-19,0,0,0
REFERENCE,451,350,-9.3229166666666664e-20,0,0,0
REFERENCE,452,370,-7.8125000000000081e-21,0,0,0
REFERENCE,453,390,8.8541666666666782e-21,0,0,0
REFERENCE,454,410,9.0104166666666669e-20,0,0,0
REFERENCE,455,430,1.0781249999999998e-19,0,0,0
REFERENCE,456,450,1.9197916666666666e-19,0,0,0
REFERENCE,457,310,-1.9302083333333332e-19,0,0,0
REFERENCE,458,331,365312.49999999994,0,0,0
REFERENCE,459,350,-9.114583333333333e-20,0,0,0
