stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
6,0.006,8,600,0.008,1.424774168705915e-28,-8.968310171678829e-44,8.784051934660187e-15,-1834538716.146485,735776340.9693407,878234931.362186
7,0.007,1,600,1.525833782752395e-28,1.412567505879896e-28,1.088390005862019e-43,9.081482007505731e-15,-2293460061.395383,-1162011033.999538,-878234931.3621861
7,0.007,2,600,0.03000000000000003,-1.437171933885377e-28,1.721959972294904e-43,-6.884699176041112e-15,1678358903.185919,-592073356.3649435,-878234931.3621863
7,0.007,3,600,0.04600000000000004,-1.412567505879896e-28,1.160897552984443e-43,1.728410971852463e-15,2293460061.395383,1162011033.999537,-878234931.3621861
7,0.007,4,600,0.016,1.437171933885377e-28,8.000679304112092e-44,-1.546769686777156e-14,-1678358903.185919,592073356.3649436,-878234931.3621861
7,0.007,5,600,1.525833782752395e-28,1.412567505879896e-28,-1.197803389956501e-43,5.153111309984334e-15,-2293460061.395383,-1162011033.999538,878234931.3621861
7,0.007,6,600,0.03000000000000003,-1.437171933885377e-28,-1.242083497151908e-43,3.692314672533818e-15,1678358903.185919,-592073356.3649435,878234931.3621862
7,0.007,7,600,0.04600000000000004,-1.412567505879896e-28,-6.669439571718708e-44,6.229050753346003e-15,2293460061.395383,1162011033.999537,878234931.362186
7,0.007,8,600,0.016,1.437171933885377e-28,-9.121718075309728e-44,-3.531973671409677e-15,-1678358903.185919,592073356.3649435,878234931.3621858
8,0.008,1,600,1.513794466167981e-28,1.400552321155457e-28,2.60275559646634e-43,7.462425252043484e-15,-2443617380.084013,-1302094240.928979,-878234931.3621864
8,0.008,2,600,0.03000000000000003,-1.44976041381221e-28,2.316140563648429e-43,-6.921108219547623e-15,1520999638.435485,-447106946.6109517,-878234931.3621867
8,0.008,3,600,0.05400000000000005,-1.400552321155457e-28,1.389854903028393e-43,1.721839561924819e-15,2443617380.084012,1302094240.928979,-878234931.3621866
8,0.008,4,600,0.024,1.44976041381221e-28,2.179608483546982e-43,-1.380565965887516e-14,-1520999638.435485,447106946.6109515,-878234931.3621867
8,0.008,5,600,1.513794466167981e-28,1.400552321155457e-28,-2.20904677992964e-43,-4.202629686594696e-15,-2443617380.084012,-1302094240.928979,878234931.3621864
8,0.008,6,600,0.03000000000000003,-1.44976041381221e-28,-2.419482465087453e-43,-2.463718383819116e-15,1520999638.435485,-447106946.6109515,878234931.3621867
8,0.008,7,600,0.05400000000000005,-1.400552321155458e-28,-1.8201471463134e-43,1.211381563601294e-14,2443617380.084012,1302094240.928979,878234931.3621866
8,0.008,8,600,0.024,1.449760413812211e-28,-1.725811988807386e-43,6.095035498855345e-15,-1520999638.435485,447106946.6109519,878234931.3621864
9,0.009000000000000001,1,600,1.501660537782818e-28,1.388729374605006e-28,7.451057675393693e-46,-4.510297488838155e-15,-2592556676.323758,-1440999874.386735,-878234931.362187
