id,x,y,z,disp_x,disp_y,disp_z
98,1.078863808443554,0.2145993542177411,0,-1.974840746313649e-06,-5.900695863215307e-07,0
99,0.9700735091368511,0.4018176039833443,0,-1.367139731690409e-06,-8.541331194613791e-07,0
100,0.9807852804032304,0.1950903220161282,0,-1.096661355126504e-06,-3.179689262812842e-07,0
101,1,0,0.25,-1.266821566793926e-06,0,9.597147388598339e-07
102,1.1,0,0.25,-2.158959893222546e-06,0,9.683952247647769e-07
103,1.016267485762415,0.4209517756015988,0.25,-1.773744300552609e-06,-1.045861734502141e-06,9.686052461722102e-07
104,0.9238795325112867,0.3826834323650898,0.25,-9.564988775906398e-07,-6.543033502771239e-07,9.597247025508881e-07
105,1.05,0,0.5,-1.710620536286235e-06,0,1.907656178039335e-06
106,1.078863808443554,0.2145993542177411,0.5,-1.970358187440956e-06,-5.894590431258871e-07,1.910461107352251e-06
107,0.9700735091368511,0.4018176039833443,0.5,-1.365482268461826e-06,-8.537725822700846e-07,1.907224164649405e-06
108,0.9807852804032304,0.1950903220161282,0.5,-1.096348879612205e-06,-3.181129891559213e-07,1.904106889692495e-06
109,0.7778174593052024,0.7778174593052023,0,-1.203263894996937e-06,-1.725213472496926e-06,0
110,0.7071067811865476,0.7071067811865475,0,-5.931818006132574e-07,-1.00705724969707e-06,0
111,0.7778174593052024,0.7778174593052023,0.5,-1.201117463263835e-06,-1.723084183975189e-06,1.904882555936297e-06
112,0.7071067811865476,0.7071067811865475,0.5,-5.93901420022123e-07,-1.007820674889986e-06,1.898277818821307e-06
113,0.9146165735327998,0.6111272563215624,0,-1.518279924413578e-06,-1.44624847157538e-06,0
114,0.742462120245875,0.7424621202458749,0,-9.058953893129561e-07,-1.372493532257319e-06,0
115,0.8314696123025452,0.5555702330196022,0,-7.806629477835816e-07,-8.683744559741437e-07,0
116,0.7778174593052024,0.7778174593052023,0.25,-1.20064938011703e-06,-1.724163355350794e-06,9.655706452798383e-07
117,0.7071067811865476,0.7071067811865475,0.25,-5.940789056026024e-07,-1.008091399698529e-06,9.565770834044871e-07
118,0.9146165735327998,0.6111272563215624,0.5,-1.515574260462279e-06,-1.444125190728897e-06,1.909207165746886e-06
119,0.742462120245875,0.7424621202458749,0.5,-9.053742414554921e-07,-1.371981830027827e-06,1.900586419275539e-06
120,0.8314696123025452,0.5555702330196022,0.5,-7.814786498530528e-07,-8.688489186115016e-07,1.903324046403653e-06
121,0.4209517756015989,1.016267485762415,0,-5.379616889260074e-07,-2.04568680651658e-06,0
122,0.3826834323650898,0.9238795325112867,0,-2.534749586056844e-07,-1.139075719770666e-06,0
123,0.4209517756015989,1.016267485762415,0.5,-5.362672470003818e-07,-2.042232198802552e-06,1.886521531657418e-06
124,0.3826834323650898,0.9238795325112867,0.5,-2.543770682833351e-07,-1.139992860772423e-06,1.880803901526184e-06
125,0.6111272563215626,0.9146165735327998,0,-8.817486667318329e-07,-1.929512376874572e-06,0
126,0.4018176039833444,0.9700735091368511,0,-4.006409005943639e-07,-1.599608112608364e-06,0
127,0.5555702330196023,0.8314696123025452,0,-4.118592099292656e-07,-1.098705179495565e-06,0
128,0.4209517756015989,1.016267485762415,0.25,-5.341810576005082e-07,-2.042233627097737e-06,9.570997180947827e-07
129,0.3826834323650898,0.9238795325112867,0.25,-2.407919818729234e-07,-1.139476420808153e-06,9.485013345526377e-07
130,0.6111272563215626,0.9146165735327998,0.5,-8.796083698950701e-07,-1.92694660823462e-06,1.896709849729978e-06
131,0.4018176039833444,0.9700735091368511,0.5,-4.00316101251432e-07,-1.598567760149472e-06,1.882596647515638e-06
132,0.5555702330196023,0.8314696123025452,0.5,-4.126166423974779e-07,-1.099839058574026e-06,1.890851061523737e-06
133,6.735557395310444e-17,1.1,0,0,-2.24877454711949e-06,0
134,6.123233995736766e-17,1,0,0,-1.274171012225674e-06,0
135,6.735557395310444e-17,1.1,0.5,0,-2.242972732740042e-06,1.872447768060873e-06
136,6.123233995736766e-17,1,0.5,0,-1.274006265270248e-06,1.866712482812472e-06
137,0.2145993542177412,1.078863808443554,0,-2.599976695380743e-07,-2.124111886533688e-06,0
138,6.429395695523605e-17,1.05,0,0,-1.771523891272439e-06,0
139,0.1950903220161283,0.9807852804032304,0,-6.410855568094021e-08,-1.171799030436265e-06,0
140,6.735557395310444e-17,1.1,0.25,0,-2.255506745587213e-06,9.513560977487678e-07
141,6.123233995736766e-17,1,0.25,0,-1.285560495322299e-06,9.434170962700046e-07
142,0.2145993542177412,1.078863808443554,0.5,-2.576026818473847e-07,-2.119100899792641e-06,1.87596916844535e-06
143,6.429395695523605e-17,1.05,0.5,0,-1.768767373491508e-06,1.868553619796567e-06
144,0.1950903220161283,0.9807852804032304,0.5,-6.266789845797297e-08,-1.171705462467119e-06,1.869905519816387e-06
145,1,0,1,-1.255218063190772e-06,0,3.759823866750902e-06
146,1.1,0,1,-2.150483361926017e-06,0,3.776967658380714e-06
147,1.016267485762415,0.4209517756015988,1,-1.774123117113191e-06,-1.040816414809932e-06,3.765665884061549e-06
148,0.9238795325112867,0.3826834323650898,1,-9.52367668083316e-07,-6.602016698965261e-07,3.751283058417681e-06
149,1,0,0.75,-1.26192327593559e-06,0,2.829394327290061e-06
150,1.1,0,0.75,-2.1507500170296e-06,0,2.844316214329515e-06
151,1.016267485762415,0.4209517756015988,0.75,-1.765312254797241e-06,-1.04259317342634e-06,2.842536697372493e-06
152,0.9238795325112867,0.3826834323650898,0.75,-9.506914666798369e-07,-6.529855153605436e-07,2.82971329538035e-06
153,1.05,0,1,-1.714237273807143e-06,0,3.769251392230114e-06
154,1.078863808443554,0.2145993542177411,1,-1.974426739707748e-06,-5.881318879259836e-07,3.776858483752878e-06
155,0.9700735091368511,0.4018176039833443,1,-1.372160837366371e-06,-8.502565978176298e-07,3.75859862056115e-06
156,0.9807852804032304,0.1950903220161282,1,-1.097360365679807e-06,-3.168827944882247e-07,3.762565284651445e-06
157,0.7778174593052024,0.7778174593052023,1,-1.215528517494049e-06,-1.714794862012784e-06,3.742606195638084e-06
158,0.7071067811865476,0.7071067811865475,1,-6.069812864947841e-07,-1.001118533796351e-06,3.726193175724236e-06
159,0.7778174593052024,0.7778174593052023,0.75,-1.19716021257508e-06,-1.715703575503115e-06,2.830263496885064e-06
160,0.7071067811865476,0.7071067811865475,0.75,-5.932586745383652e-07,-1.003090183417694e-06,2.820383640447665e-06
161,0.9146165735327998,0.6111272563215624,1,-1.526198006880846e-06,-1.438668118644112e-06,3.756898672183764e-06
162,0.742462120245875,0.7424621202458749,1,-9.192832549776541e-07,-1.364492989505233e-06,3.733641884173715e-06
163,0.8314696123025452,0.5555702330196022,1,-7.909948047419386e-07,-8.642689450694902e-07,3.739850947817382e-06
164,0.4209517756015989,1.016267485762415,1,-5.582906827903609e-07,-2.036323179995989e-06,3.70251089477386e-06
165,0.3826834323650898,0.9238795325112867,1,-2.767500836601575e-07,-1.135258199564657e-06,3.684576509331232e-06
166,0.4209517756015989,1.016267485762415,0.75,-5.327314415335793e-07,-2.032003894765836e-06,2.799360072854918e-06
167,0.3826834323650898,0.9238795325112867,0.75,-2.411064390579368e-07,-1.133926525862738e-06,2.789308172212953e-06
168,0.6111272563215626,0.9146165735327998,1,-9.004543293804995e-07,-1.91950066405894e-06,3.72711055509954e-06
169,0.4018176039833444,0.9700735091368511,1,-4.228283577654297e-07,-1.593235260583301e-06,3.69307014039705e-06
170,0.5555702330196023,0.8314696123025452,1,-4.322126959266374e-07,-1.09384823868815e-06,3.708177845387831e-06
171,6.735557395310444e-17,1.1,1,0,-2.233321877068238e-06,3.640079782117115e-06
172,6.123233995736766e-17,1,1,0,-1.271642529397197e-06,3.636249680632891e-06
173,6.735557395310444e-17,1.1,0.75,0,-2.245959022704979e-06,2.768889285136781e-06
174,6.123233995736766e-17,1,0.75,0,-1.282838540012509e-06,2.759187243748029e-06
175,0.2145993542177412,1.078863808443554,1,-2.713248560770909e-07,-2.110928597386211e-06,3.66827078748886e-06
176,6.429395695523605e-17,1.05,1,0,-1.763032969593327e-06,3.638009816092231e-06
177,0.1950903220161283,0.9807852804032304,1,-7.745381257771216e-08,-1.167298016056483e-06,3.659215117128241e-06
