element,integration_point,current_x,current_y,current_z,ivol,vonmises_stress,effective_plastic_strain,effective_creep_strain
7,17,1.6190745924833259,0.88895227499487328,0.49999999999999989,0.013711219555043747,169138.9104510129,0.006913891045101298,6.957970735823686e-06
7,18,1.7151208731377516,0.88875753977183358,0.49999999999999994,0.0085688824491745863,160593.2884976625,0.006059328849766258,6.230033214709624e-06
7,19,1.5234864643434372,0.1111191959054543,0.88888080409454551,0.0053576929807349002,169064.9293402552,0.006906492934025524,6.796394052187541e-06
7,20,1.6195554708673705,0.11122635434267253,0.8887736456573273,0.0085753174416693181,161698.3908157884,0.006169839081578848,6.161311632135008e-06
7,21,1.7157106740690227,0.11141039045555833,0.88858960954444155,0.0053593381474451984,153158.6186775898,0.00531586186775899,5.486202030739598e-06
7,22,1.523114508506618,0.49999999999999994,0.88907013254224454,0.0085667521084618562,176487.7104048659,0.007648771040486598,7.641410864966076e-06
7,23,1.6190745924833259,0.5,0.8889522749948735,0.013711219555043754,169138.910451013,0.006913891045101298,6.95797073582368e-06
7,24,1.7151208731377521,0.49999999999999989,0.88875753977183358,0.0085688824491745759,160593.2884976625,0.006059328849766251,6.230033214709616e-06
7,25,1.5234864643434372,0.88888080409454551,0.88888080409454562,0.0053576929807349028,169064.929340255,0.006906492934025499,6.79639405218753e-06
7,26,1.6195554708673701,0.8887736456573273,0.8887736456573273,0.0085753174416693112,161698.3908157883,0.006169839081578826,6.161311632135e-06
7,27,1.7157106740690224,0.88858960954444122,0.88858960954444155,0.0053593381474452357,153158.6186775898,0.00531586186775897,5.486202030739591e-06
8,1,1.7717053244793957,0.11155434469077244,0.11155434469077247,0.0053587101684030355,146856.6492570066,0.004685664925700668,4.850195235564714e-06
8,2,1.8681124459655207,0.11193526119996285,0.11193526119996282,0.0085838242259384592,122954.5863007668,0.002295458630076686,2.673212920317121e-06
8,3,1.9648182744377005,0.11250189410449703,0.11250189410449701,0.005365883468825443,113268.8008825073,0.001326880088250735,2.090923431047817e-06
8,4,1.7710645650925998,0.49999999999999989,0.11140810297803791,0.0085712046206543619,151630.6301286848,0.005163063012868483,5.421953657259253e-06
8,5,1.8674054908178619,0.5,0.11185285277709736,0.013727407726418802,127523.2715688183,0.002752327156881829,3.162695703743132e-06
8,6,1.9640451235291785,0.49999999999999989,0.11248331897150055,0.0085797467555430267,111298.9239283418,0.001129892392834174,1.694321583803431e-06
8,7,1.7717053244793957,0.88844565530922726,0.11155434469077247,0.0053587101684030363,146856.6492570065,0.004685664925700651,4.850195235564708e-06
8,8,1.8681124459655207,0.88806473880003689,0.11193526119996285,0.0085838242259384644,122954.5863007668,0.002295458630076677,2.673212920317117e-06
8,9,1.9648182744377003,0.88749810589550282,0.11250189410449701,0.0053658834688254621,113268.8008825073,0.00132688008825073,2.090923431047813e-06
8,10,1.7710645650925994,0.1114081029780379,0.49999999999999989,0.0085712046206543047,151630.6301286848,0.00516306301286848,5.421953657259254e-06
8,11,1.8674054908178621,0.11185285277709731,0.49999999999999994,0.013727407726418797,127523.2715688183,0.002752327156881825,3.16269570374313e-06
8,12,1.9640451235291791,0.11248331897150055,0.49999999999999989,0.0085797467555430666,111298.9239283417,0.001129892392834168,1.694321583803426e-06
8,13,1.7704238057058037,0.5,0.5,0.013709483995537062,156889.0000370276,0.005688900003702759,6.048181092263764e-06
8,14,1.8666985356702042,0.50000000000000011,0.50000000000000022,0.021952999810774913,130851.4506959582,0.003085145069595821,3.577791600336936e-06
8,15,1.9632719726206587,0.5,0.5,0.013718454764544575,101927.9364842774,0.0001927936484277421,8.161894640855163e-07
8,16,1.7710645650925994,0.88859189702196195,0.49999999999999989,0.0085712046206542925,151630.6301286847,0.005163063012868475,5.421953657259258e-06
8,17,1.8674054908178626,0.88814714722290278,0.49999999999999994,0.013727407726418804,127523.2715688182,0.002752327156881818,3.162695703743132e-06
8,18,1.9640451235291794,0.88751668102849923,0.49999999999999989,0.0085797467555430162,111298.9239283417,0.001129892392834167,1.694321583803426e-06
8,19,1.7717053244793957,0.11155434469077247,0.88844565530922737,0.0053587101684030285,146856.6492570065,0.004685664925700653,4.850195235564709e-06
8,20,1.8681124459655207,0.11193526119996285,0.88806473880003711,0.0085838242259384592,122954.5863007668,0.002295458630076671,2.673212920317114e-06
8,21,1.9648182744377003,0.112501894104497,0.88749810589550293,0.0053658834688254577,113268.8008825072,0.001326880088250722,2.090923431047816e-06
8,22,1.7710645650925994,0.49999999999999983,0.88859189702196184,0.0085712046206543289,151630.6301286847,0.005163063012868471,5.421953657259254e-06
8,23,1.867405490817863,0.49999999999999989,0.88814714722290278,0.013727407726418801,127523.2715688181,0.002752327156881812,3.162695703743127e-06
8,24,1.9640451235291789,0.49999999999999989,0.88751668102849912,0.0085797467555430405,111298.9239283417,0.001129892392834166,1.694321583803424e-06
8,25,1.7717053244793957,0.88844565530922726,0.88844565530922737,0.0053587101684030025,146856.6492570064,0.004685664925700645,4.850195235564712e-06
8,26,1.8681124459655207,0.88806473880003711,0.88806473880003711,0.0085838242259384558,122954.5863007667,0.002295458630076672,2.673212920317118e-06
8,27,1.9648182744377003,0.88749810589550282,0.88749810589550293,0.0053658834688254612,113268.8008825073,0.001326880088250731,2.09092343104782e-06
