stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
5,0.5,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,-209783354.5730814,2.384185791015625e-07,2.980232238769531e-07,-2.048530546890085e-08,-9.127233631553127e-09,1.803300415251646e-08,4.336808689942018e-19,-0.0002097833545730819,-0.0002097833545730819,-4.912791094074942e-19,0,-8.639736061993863e-20,-0.001048916772865408,0.0003146750318596231,0.000314675031859623,-2.66308971095711e-19,-1.186540372101907e-19,2.344290539827139e-19,0.001048916772865408,-0.000524458386432705,-0.0005244583864327048,-2.249701383117832e-19,1.186540372101907e-19,-3.208264146026526e-19,0.004891677286540748,0.125
5,0.5,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,-209783354.5730816,-2.384185791015625e-07,-1.490116119384766e-07,4.763158198472543e-09,3.617508656299258e-09,-1.678845030135608e-08,-4.336808689942018e-19,-0.0002097833545730819,-0.0002097833545730821,1.01643953670516e-20,4.777265822514254e-19,3.930232875259954e-19,-0.001048916772865408,0.0003146750318596215,0.0003146750318596222,6.192105658014304e-20,4.702761253189037e-20,-2.182498539176291e-19,0.001048916772865407,-0.0005244583864327037,-0.0005244583864327041,-5.175666121309143e-20,4.30698969719535e-19,6.112731414436245e-19,0.004891677286540751,0.125
5,0.5,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,-209783354.5730813,2.086162567138672e-07,2.086162567138672e-07,7.02567849136394e-09,2.542482017458949e-09,-2.031933346247929e-08,8.673617379884035e-19,-0.0002097833545730819,-0.0002097833545730817,6.437450399132683e-20,5.149960319306146e-19,-1.219727444046192e-19,-0.001048916772865407,0.0003146750318596227,0.0003146750318596225,9.133382038773122e-20,3.305226622696634e-20,-2.641513350122308e-19,0.001048916772865408,-0.0005244583864327046,-0.0005244583864327042,-2.695931639640439e-20,4.819437657036483e-19,1.421785906076116e-19,0.004891677286540748,0.125
5,0.5,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,-209783354.5730816,-1.192092895507812e-07,-1.490116119384766e-07,1.756692033448699e-08,-1.846452904971212e-09,-2.801814302483018e-08,0,-0.0002097833545730819,-0.0002097833545730817,-5.421010862427522e-20,0,-5.014435047745458e-19,-0.001048916772865407,0.0003146750318596219,0.0003146750318596219,2.28369964348331e-19,-2.400388776462576e-20,-3.642358593227923e-19,0.001048916772865407,-0.0005244583864327038,-0.0005244583864327033,-2.825800729726061e-19,2.400388776462576e-20,-1.372076454517535e-19,0.004891677286540751,0.125
5,0.5,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,-209783354.5730816,2.980232238769531e-08,0,2.122406141013634e-08,-1.908720053535883e-08,5.635149176437198e-09,0,-0.0002097833545730821,-0.0002097833545730821,2.032879073410321e-19,0,1.18584612615602e-19,-0.001048916772865408,0.0003146750318596225,0.0003146750318596223,2.759127983317723e-19,-2.481336069596649e-19,7.325693929368359e-20,0.001048916772865408,-0.0005244583864327046,-0.0005244583864327044,-7.262489099074027e-20,2.481336069596649e-19,4.532767332191848e-20,0.00489167728654075,0.125
6,0.6000000000000001,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,-213743750.612686,-5.960464477539062e-07,-5.960464477539062e-07,-1.287088364456429e-09,1.726425805206615e-09,-5.198478483328135e-10,-0.002000000000000001,0.0007862562493873143,0.0007862562493873137,-1.270549420881451e-19,1.761828530288945e-19,2.032879073410321e-20,-0.001068718753063429,0.0003206156259190271,0.0003206156259190271,-1.673214873793358e-20,2.2443535467686e-20,-6.758022028326586e-21,-0.0009312812469365718,0.0004656406234682871,0.0004656406234682867,-1.103227933502115e-19,1.537393175612085e-19,2.708681276242979e-20,0.006871875306342732,0.1250000000000001
6,0.6000000000000001,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,-213743750.6126855,-5.960464477539062e-08,0,-1.840950372310519e-09,-1.174751857794822e-09,-4.901593007219499e-09,-0.002,0.0007862562493873139,0.0007862562493873146,-1.372193374551967e-19,2.541098841762901e-19,-2.964615315390051e-19,-0.001068718753063428,0.0003206156259190282,0.0003206156259190284,-2.393235484003674e-20,-1.527177415133269e-20,-6.37207090938535e-20,-0.0009312812469365721,0.000465640623468286,0.000465640623468286,-1.132869826151599e-19,2.693816583276228e-19,-2.327408224451516e-19,0.006871875306342732,0.125
6,0.6000000000000001,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,-213743750.6126854,8.940696716308594e-08,1.192092895507812e-07,-7.19274273372002e-09,-1.602350319398548e-09,2.38511689369551e-08,-0.001999999999999999,0.0007862562493873141,0.0007862562493873137,-5.183841637196318e-19,-5.421010862427522e-20,4.743384504624082e-19,-0.001068718753063428,0.0003206156259190286,0.0003206156259190286,-9.350565553836027e-20,-2.083055415218112e-20,3.100651961804164e-19,-0.0009312812469365714,0.0004656406234682856,0.000465640623468285,-4.248785081812715e-19,-3.33795544720941e-20,1.642732542819919e-19,0.00687187530634273,0.1250000000000001
6,0.6000000000000001,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,-213743750.6126852,2.682209014892578e-07,2.384185791015625e-07,-7.192742733720017e-09,-1.088211154507853e-08,6.411239389265469e-09,-0.001999999999999999,0.0007862562493873141,0.0007862562493873139,-5.183841637196318e-19,-3.252606517456513e-19,-5.929230630780102e-20,-0.001068718753063427,0.0003206156259190289,0.0003206156259190289,-9.350565553836025e-20,-1.41467450086021e-19,8.334611206045108e-20,-0.0009312812469365714,0.0004656406234682854,0.000465640623468285,-4.248785081812716e-19,-1.837932016596304e-19,-1.426384183682522e-19,0.006871875306342728,0.125
6,0.6000000000000001,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,-213743750.6126857,-1.490116119384766e-07,-1.788139343261719e-07,-4.462141543695674e-09,6.468453494309008e-09,-8.007980455052537e-09,-0.002,0.0007862562493873148,0.0007862562493873137,-2.337810934421869e-19,6.945670167485263e-19,2.846030702774449e-19,-0.001068718753063428,0.0003206156259190282,0.0003206156259190282,-5.800784006804375e-20,8.40898954260171e-20,-1.04103745915683e-19,-0.0009312812469365723,0.0004656406234682865,0.0004656406234682856,-1.757732533741431e-19,6.104771213225091e-19,3.88706816193128e-19,0.00687187530634273,0.125
