case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D02_MINUS,6,430,0.04,0.016,0.04,25.05481014590857,6264347492.953152,-5142732144.085109,5732498943.377853
D02_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188317067602,6783104299.095825,5984729498.458148,5906806361.25855
D02_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75677848419259,-6194706248.420565,5289529367.859474,5889479391.475534
D03_PLUS,1,360,6.45497441e-27,5.474974409999999e-27,5.43987697e-27,-142.0772950065383,-6811198276.639273,-5944485441.625661,-5865310713.550535
D03_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39536329561075,6045070118.027611,-5290890426.379699,-5677705880.221626
D03_PLUS,3,445,0.068,0.036,-0.016,21.00301141453506,6728532055.722042,5797419465.753929,-5773397051.878885
D03_PLUS,4,385.001,-0.016,0.04399999999999999,0.008,-98.03850520727873,-6216788278.423589,5098314667.976222,-5772191662.393253
D03_PLUS,5,470,0.012,-0.02,0.056,44.87916930379906,-6598360836.761228,-5791884648.042151,5559821633.723186
D03_PLUS,6,430,0.04,0.016,0.04,25.05406581123783,6264347153.427362,-5142731800.271482,5732498604.674411
D03_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.818485584623,6783103971.488407,5984729157.242427,5906806023.112494
D03_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75643139523288,-6194705906.84133,5289529025.346416,5889479046.534211
D03_MINUS,1,360,6.45497471e-27,5.474974709999998e-27,5.43987727e-27,-142.0772825506797,-6811198605.498481,-5944485779.769634,-5865311048.41829
D03_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39467501256117,6045070450.660262,-5290890767.116002,-5677706211.8019
D03_MINUS,3,445,0.068,0.036,-0.016,21.00296212534418,6728532386.626473,5797419805.193262,-5773397397.918929
D03_MINUS,4,384.999,-0.016,0.04399999999999999,0.008,-98.04130158813403,-6216788613.18514,5098315007.434864,-5772192001.851897
D03_MINUS,5,470,0.012,-0.02,0.056,44.87988591711716,-6598361160.928171,-5791884986.614157,5559821967.969811
D03_MINUS,6,430,0.04,0.016,0.04,25.05480897329013,6264347491.593862,-5142732142.708652,5732498942.021856
D03_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8191493537954,6783104297.784249,5984729497.092092,5906806359.904784
D03_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75645278182803,-6194706247.053051,5289529366.488225,5889479390.094563
D04_PLUS,1,360,6.45497441e-27,5.474974409999999e-27,5.43987697e-27,-142.0772868030257,-6811198279.604011,-5944485444.674105,-5865310716.569442
D04_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39536759517669,6045070121.026365,-5290890429.451511,-5677705883.210896
D04_PLUS,3,445,0.068,0.036,-0.016,21.00263607731049,6728532058.705217,5797419468.81405,-5773397054.998512
D04_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.04026170436535,-6216788281.441537,5098314671.036516,-5772191665.453547
D04_PLUS,5,470.001,0.012,-0.02,0.056,44.88091660237647,-6598360839.683663,-5791884651.094453,5559821636.736493
D04_PLUS,6,430,0.04,0.016,0.04,25.05444229752469,6264347156.476007,-5142731803.35863,5732498607.715672
D04_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8184855811968,6783103974.430036,5984729160.306247,5906806026.148749
D04_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.7564355441593,-6194705909.908413,5289529028.421885,5889479049.631483
D04_MINUS,1,360,6.45497471e-27,5.474974709999998e-27,5.43987727e-27,-142.0772907541923,-6811198602.533746,-5944485776.721192,-5865311045.399384
D04_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39467071299521,6045070447.661508,-5290890764.044189,-5677706208.81263
D04_MINUS,3,445,0.068,0.036,-0.016,21.00333746256879,6728532383.643297,5797419802.133142,-5773397394.799301
D04_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03954509104723,-6216788610.167192,5098315004.374571,-5772191998.791602
D04_MINUS,5,469.999,0.012,-0.02,0.056,44.87813861853969,-6598361158.005737,-5791884983.561855,5559821964.956505
