creep_q0,creep_q1,creep_q2,creep_q3,id,plastic_q0,plastic_q1,plastic_q2,plastic_q3,stress_q0,stress_q1,stress_q2,stress_q3,x,y,z
3.0735151809211e-07,2.9750811694186e-07,3.2282677628237e-07,3.1122292021112e-07,94,0.00042501463703729,0.00041816344953753,0.00043886727683984,0.00043126543170401,5041687.4223084,5025745.9741189,4523224.133448,4534378.4176675,0.00426375,0.004875,0
2.670812695206e-07,2.6998044972079e-07,2.803779810206e-07,2.8254235822821e-07,95,0.00040202948652001,0.00040402379657004,0.00041106060753101,0.00041241454928563,4739551.2115873,4703225.8047854,4727383.7420663,4699269.5190054,0.00454925,0.004875,0
3.6003270193924e-07,3.3756023190779e-07,3.8219267010389e-07,3.5782124672749e-07,96,0.00045536275565816,0.00044476372146256,0.00046389987055227,0.0004530027981064,4964787.3736178,4710568.185078,5374643.6396027,5094382.9043376,0.00426375,0.005125,0
3.0215733806962e-07,2.9547051120674e-07,3.1975032434294e-07,3.1171321022589e-07,97,0.00042184417455836,0.00041880628275605,0.00043258603844581,0.00042887199212825,4924844.0667171,4801099.5260434,4926905.22488,4796149.0239856,0.00454925,0.005125,0
4.195903098447e-07,3.8752817664608e-07,4.4586857979223e-07,4.1153376058386e-07,98,0.00048194546327678,0.00046817870637468,0.0004948786419377,0.00048046849001686,5268847.2222259,5019466.5939092,5096111.0430914,4870761.7453328,0.00426375,0.005375,0
3.4357973314242e-07,3.2354420974593e-07,3.6665605215244e-07,3.4438498136615e-07,99,0.00044626751711832,0.00043535318961296,0.0004585767952148,0.00044696796052748,4721798.2915702,4747570.6684345,4726988.20631,4750041.8347488,0.00454925,0.005375,0
4.9440560904803e-07,4.457560920076e-07,5.2688813599219e-07,4.7441247979526e-07,100,0.00051414956417634,0.00049459852349195,0.00052795665338964,0.00050773773641085,5114446.4833365,5040211.6403919,5054315.4063259,4982784.1247604,0.00426375,0.005625,0
3.9133571413935e-07,3.5707429567566e-07,4.1754269467745e-07,3.803744411782e-07,101,0.00046988464023704,0.00045414020476561,0.00048271849330078,0.00046630796971397,4923094.8142959,4718616.9488655,4916002.5374709,4711621.2363266,0.00454925,0.005625,0
5.7145422083592e-07,5.0657701116286e-07,6.0594848550077e-07,5.3689470384487e-07,102,0.00054490000087816,0.00052123582364247,0.00055745392963412,0.00053322216592568,5157440.886633,4997088.826331,5284732.4066025,5109299.5848366,0.00426375,0.005875,0
4.4112543177207e-07,3.9680443985263e-07,4.6809020812431e-07,4.2065556249694e-07,103,0.00049411809259315,0.00047507152264692,0.00050606880437298,0.00048645501332041,4895409.5642676,4695704.4892811,4922958.1098386,4717584.5159672,0.00454925,0.005875,0
