effective_creep_strain,effective_plastic_strain,id,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,x,y,z
0.00028304349469028,0.00071005629445656,33,201427587.23345,-7809.3971642676,16444.206189906,-9325.7736987015,11858.173111527,24288.723038737,0.0015,0.0005,0.0025
0.00028296846685555,0.00070997550222197,34,201423284.38114,9935.3064080058,-1190.6054454561,-16017.563413527,12309.602543341,22695.837992318,0.0025,0.0005,0.0025
0.00028234098364141,0.00070943620900112,35,201409738.92428,3754.0579091028,3455.9346480432,-17160.369131436,5706.9699143384,-1104.6146873087,0.0035,0.0005,0.0025
0.0002829818997892,0.00070927458826463,36,201421309.40989,-6649.6486206397,17260.060301918,5319.2220049761,5823.6344116227,208.65866594575,0.0005,0.0015,0.0025
0.00028304336057372,0.00070987846196615,37,201399483.5056,-11822.462785314,28967.062325512,-22674.800835165,17577.342490663,-17846.745330282,0.0015,0.0015,0.0025
0.0002829610959343,0.00070975907982125,38,201394925.73812,18220.585737558,-15164.141416499,-28642.76164079,18416.206740795,-20522.525349729,0.0025,0.0015,0.0025
0.00028224121718426,0.00070911650963676,39,201401701.3744,14185.755574983,-4094.3407743538,-17625.16418959,7604.1615378397,-15432.404676016,0.0035,0.0015,0.0025
0.00028299297830097,0.00070937783713088,40,201421862.99063,15885.883292356,15885.883292353,3113.0329327043,-10719.582005356,3113.0329326876,0.0005,0.0025,0.0025
0.00028305434037483,0.00070985684258848,41,201400304.55539,26474.693503753,26474.693503783,-19390.427725097,-24696.389752147,-19390.427725106,0.0015,0.0025,0.0025
0.00028297871488938,0.00070966309454896,42,201397794.73425,-16228.573226004,-16228.573226068,-21519.680792729,-24570.778798443,-21519.680792719,0.0025,0.0025,0.0025
0.00028218204877909,0.00070913492694825,43,201405914.99924,-4531.1950145235,-4531.1950145379,-12352.692703624,-11234.830345387,-12352.692703612,0.0035,0.0025,0.0025
0.00028300355793635,0.00070972507905155,44,201423479.83943,11697.118810971,7405.4200576361,-4092.2797437003,-9792.940676433,12157.201107239,0.0005,0.0035,0.0025
0.00028303211368517,0.00071004262248798,45,201438687.22523,19534.412207373,10790.900783758,5358.6591685805,-21224.052396071,31863.706677439,0.0015,0.0035,0.0025
0.00028296350792298,0.00070983098541427,46,201445816.3648,-10026.438850922,-4105.6670498081,14088.903159595,-21909.907030589,38232.591241438,0.0025,0.0035,0.0025
0.00028234925433127,0.00070935748931342,47,201416065.43541,1670.6375841503,479.22674537503,-8281.7562732687,-13421.738789987,2986.0530849751,0.0035,0.0035,0.0025
0.0002829956671188,0.00070973377640343,48,201423958.36032,-559.19496119263,10107.020193041,13006.961207904,3643.0562136181,-4022.3547091559,0.0005,0.0005,0.0035
