geometry	element	local_node	node	rule	weight_m3	prediction_w	native_rfl_w	relative_error	absolute_error_w
regular	3	3	19	native_ivol	0.08649297786458346	518957.86718750076	518957.86718750076	0.0	0.0
regular	4	4	28	reference_gauss	0.06249999999999998	374999.9999999999	518957.8671875002	0.2773979860208731	143957.8671875003
regular	4	4	28	reference_corner	0.0625	375000.0	518957.8671875002	0.2773979860208729	143957.86718750017
regular	4	4	28	current_gauss	0.08247554656778947	494853.2794067368	518957.8671875002	0.04644806313737677	24104.587780763395
regular	4	4	28	current_corner	0.07507715625000014	450462.9375000008	518957.8671875002	0.13198553103878866	68494.92968749936
regular	4	4	28	current_row_sum	0.08500688368055559	510041.30208333355	518957.8671875002	0.01718167440545816	8916.565104166628
regular	4	4	28	reference_gauss_volume_ratio	0.08649297786458335	518957.8671875001	518957.8671875002	1.1216259468022844e-16	5.820766091346741e-11
regular	4	4	28	reference_corner_volume_ratio	0.08649297786458338	518957.86718750023	518957.8671875002	1.1216259468022844e-16	5.820766091346741e-11
regular	4	4	28	reference_gauss_determinant_average_f	0.08648712597656245	518922.7558593747	518957.8671875002	6.765737711184921e-05	35.11132812546566
regular	4	4	28	native_ivol	0.08649297786458336	518957.8671875002	518957.8671875002	0.0	0.0
regular	5	5	37	reference_gauss	0.06250000000000006	375000.00000000035	518957.86718750093	0.27739798602087323	143957.86718750058
regular	5	5	37	reference_corner	0.0625	375000.0	518957.86718750093	0.27739798602087395	143957.86718750093
regular	5	5	37	current_gauss	0.088866057464896	533196.344789376	518957.86718750093	0.027436673576297636	14238.477601875085
regular	5	5	37	current_corner	0.0935389062500002	561233.4375000013	518957.86718750093	0.08146243266647708	42275.57031250035
regular	5	5	37	current_row_sum	0.08735295920138887	524117.75520833326	518957.86718750093	0.009942787935360546	5159.888020832324
regular	5	5	37	reference_gauss_volume_ratio	0.08649297786458345	518957.8671875007	518957.86718750093	4.486503787209132e-16	2.3283064365386963e-10
regular	5	5	37	reference_corner_volume_ratio	0.08649297786458336	518957.8671875002	518957.86718750093	1.4581137308429678e-15	7.566995918750763e-10
regular	5	5	37	reference_gauss_determinant_average_f	0.08648712597656265	518922.7558593759	518957.86718750093	6.765737711106398e-05	35.11132812505821
regular	5	5	37	native_ivol	0.08649297786458349	518957.86718750093	518957.86718750093	0.0	0.0
regular	6	6	46	reference_gauss	0.06249999999999995	374999.9999999997	518957.8671874996	0.2773979860208726	143957.86718749988
regular	6	6	46	reference_corner	0.0625	375000.0	518957.8671874996	0.27739798602087207	143957.8671874996
regular	6	6	46	current_gauss	0.08368172600165515	502090.3560099309	518957.8671874996	0.03250266012727091	16867.511177568696
regular	6	6	46	current_corner	0.07744237500000016	464654.250000001	518957.8671874996	0.1046397417227682	54303.6171874986
regular	6	6	46	current_row_sum	0.08570284432870375	514217.0659722225	518957.8671874996	0.009135233349423835	4740.801215277112
regular	6	6	46	reference_gauss_volume_ratio	0.08649297786458326	518957.8671874996	518957.8671874996	0.0	0.0
regular	6	6	46	reference_corner_volume_ratio	0.08649297786458333	518957.8671875	518957.8671874996	7.851381627616e-16	4.0745362639427185e-10
regular	6	6	46	reference_gauss_determinant_average_f	0.08648712597656236	518922.7558593741	518957.8671874996	6.76573771118493e-05	35.11132812546566
regular	6	6	46	native_ivol	0.08649297786458326	518957.8671874996	518957.8671874996	0.0	0.0
regular	7	7	55	reference_gauss	0.06249999999999998	374999.9999999999	518957.8671875016	0.27739798602087506	143957.8671875017
regular	7	7	55	reference_corner	0.0625	375000.0	518957.8671875016	0.27739798602087484	143957.86718750157
regular	7	7	55	current_gauss	0.09068365619658562	544101.9371795137	518957.8671875016	0.048451081642293545	25144.06999201217
regular	7	7	55	current_corner	0.09572843749999978	574370.6249999987	518957.8671875016	0.10677698772119451	55412.75781249715
regular	7	7	55	current_row_sum	0.08855277690972206	531316.6614583323	518957.8671875016	0.02381463901454927	12358.794270830753
regular	7	7	55	reference_gauss_volume_ratio	0.08649297786458318	518957.86718749907	518957.8671875016	4.82299157124981e-15	2.5029294192790985e-09
regular	7	7	55	reference_corner_volume_ratio	0.08649297786458321	518957.86718749924	518957.8671875016	4.486503787209126e-15	2.3283064365386963e-09
regular	7	7	55	reference_gauss_determinant_average_f	0.08648712597656234	518922.75585937407	518957.8671875016	6.765737711577473e-05	35.11132812750293
regular	7	7	55	native_ivol	0.0864929778645836	518957.8671875016	518957.8671875016	0.0	0.0
regular	8	8	64	reference_gauss	0.06250000000000003	375000.0000000002	518957.86718749977	0.27739798602087196	143957.8671874996
regular	8	8	64	reference_corner	0.0625	375000.0	518957.86718749977	0.2773979860208723	143957.86718749977
regular	8	8	64	current_gauss	0.08873763456871789	532425.8074123074	518957.86718749977	0.025951895281590594	13467.940224807593
