variable,maximum_absolute_difference,maximum_reference,maximum_difference_over_field_peak
vals_elem_var327eb1,1.0587911840678754e-22,1.0361373654275558e-06,1.0218637213522086e-16
vals_elem_var328eb1,3.284454956273275e-17,2.8599352455874286e-05,1.1484368260927707e-12
vals_elem_var329eb1,1.3963708712401565e-17,8.288921182938234e-07,1.6846231740198245e-11
vals_elem_var330eb1,4.412406380484464e-18,1.3678429447071368e-06,3.2258136049597318e-12
vals_elem_var331eb1,0.0,0.0,0.0
vals_elem_var332eb1,0.0,0.0,0.0
vals_elem_var333eb1,0.0,0.0,0.0
vals_elem_var334eb1,0.0,0.0,0.0
vals_elem_var335eb1,0.0,0.0,0.0
vals_elem_var336eb1,0.0,0.0,0.0
vals_elem_var337eb1,0.0,0.0,0.0
vals_elem_var338eb1,0.0,0.0,0.0
vals_elem_var339eb1,0.0,0.0,0.0
vals_elem_var340eb1,0.0,0.0,0.0
vals_elem_var341eb1,0.0,0.0,0.0
vals_elem_var342eb1,0.0,0.0,0.0
vals_elem_var343eb1,1.1102230246251565e-16,0.0002531617336362059,4.385429854183848e-13
vals_elem_var344eb1,4.658681209898652e-21,4.944392798704101e-06,9.422150301488319e-16
vals_elem_var345eb1,1.1102251422075247e-16,1.6399425362644823e-06,6.769902710959824e-11
vals_elem_var346eb1,2.7592945289756088e-17,3.1368662874847076e-05,8.796340921461927e-13
vals_elem_var347eb1,7.106151147254431e-17,1.4762347742910552e-06,4.813699874172845e-11
vals_elem_var348eb1,2.8032925966295493e-17,2.299946426660103e-06,1.21885125850535e-11
vals_elem_var349eb1,0.0,0.0,0.0
vals_elem_var350eb1,0.0,0.0,0.0
vals_elem_var351eb1,0.0,0.0,0.0
vals_elem_var352eb1,0.0,0.0,0.0
vals_elem_var353eb1,0.0,0.0,0.0
vals_elem_var354eb1,0.0,0.0,0.0
vals_elem_var355eb1,0.0,0.0,0.0
vals_elem_var356eb1,0.0,0.0,0.0
vals_elem_var357eb1,0.0,0.0,0.0
vals_elem_var358eb1,0.0,0.0,0.0
vals_elem_var359eb1,0.0,0.0,0.0
vals_elem_var360eb1,0.0,0.0,0.0
vals_elem_var361eb1,0.0,0.0,0.0
vals_elem_var362eb1,0.0,0.0,0.0
vals_elem_var363eb1,0.0,0.0,0.0
vals_elem_var364eb1,0.0,0.0,0.0
vals_elem_var365eb1,0.0,0.0,0.0
vals_elem_var366eb1,0.0,0.0,0.0
vals_elem_var367eb1,0.0,0.0,0.0
vals_elem_var368eb1,0.0,0.0,0.0
vals_elem_var369eb1,0.0,0.0,0.0
vals_elem_var370eb1,0.0,0.0,0.0
vals_elem_var371eb1,0.0,0.0,0.0
vals_elem_var372eb1,0.0,0.0,0.0
vals_elem_var373eb1,0.0,0.0,0.0
vals_elem_var374eb1,0.0,0.0,0.0
vals_elem_var375eb1,0.0,0.0,0.0
vals_elem_var376eb1,0.0,0.0,0.0
vals_elem_var377eb1,0.0,0.0,0.0
vals_elem_var378eb1,0.0,0.0,0.0
