time,scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,nonzero_pointwise_failures,largest_failed_reference_norm,largest_failed_absolute_difference,largest_difference_sample,zero_reference_absolute_failures,zero_absolute_tolerance,strict_0_1_percent_passed
0.6000000238418579,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.600000023842 element=1 point=1,0.0,0.0,t=0.600000023842 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.6499999761581421,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.649999976158 element=1 point=1,0.0,0.0,t=0.649999976158 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.699999988079071,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.699999988079 element=1 point=1,0.0,0.0,t=0.699999988079 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.75,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.75 element=1 point=1,0.0,0.0,t=0.75 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.800000011920929,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.800000011921 element=1 point=1,0.0,0.0,t=0.800000011921 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.8500000238418579,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.850000023842 element=1 point=1,0.0,0.0,t=0.850000023842 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.8999999761581421,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.899999976158 element=1 point=1,0.0,0.0,t=0.899999976158 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.949999988079071,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.949999988079 element=1 point=1,0.0,0.0,t=0.949999988079 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
1.0,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=1 element=1 point=1,0.0,0.0,t=1 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.05000000074505806,frame,cladding_creep_strain,4096,2.0899149996827445e-06,8.02201363523039e-06,7.671778255378309e-05,1.5682541977954544e-16,t=0.0500000007451 element=702 point=1,1.8915883368422285e-10,1.4511846270713427e-16,t=0.0500000007451 element=701 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
