stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
3,0.3,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,205940594.0594065,2.980232238769531e-08,1.192092895507812e-07,-5.074718574075218e-08,2.376664220405082e-08,-3.204446659282136e-09,0.004,-0.001794059405940595,-0.001794059405940593,-2.195509399283146e-18,1.13841228110978e-18,-7.115076756936123e-20,0.001029702970297032,-0.00030891089108911,-0.0003089108910891093,-6.597134146297785e-19,3.089663486526606e-19,-4.165780657066774e-20,0.002970297029702968,-0.001485148514851485,-0.001485148514851484,-1.535795984653368e-18,8.29445932457119e-19,-2.949296099869347e-20,0.00297029702970319,0.125
4,0.4,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,-194059405.9405935,3.725290298461914e-08,1.192092895507812e-07,-2.402272043017824e-09,-2.877860168365677e-09,-8.275118694186371e-09,0.002,-0.001194059405940594,-0.001194059405940594,-2.05829006182795e-19,-2.270048298641525e-19,-1.151964808265848e-19,-0.0009702970297029677,0.0002910891089108902,0.0002910891089108908,-3.122953655923171e-20,-3.74121821887538e-20,-1.075765430244228e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851485,-1.745994696235633e-19,-1.895926476753987e-19,-7.619937802162012e-21,0.00297029702970319,0.1250000000000001
4,0.4,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,-194059405.9405934,4.470348358154297e-08,1.043081283569336e-07,-3.497629773930338e-09,-8.329994452502923e-09,-1.19499595115342e-09,0.002,-0.001194059405940594,-0.001194059405940594,-1.753358200816402e-19,-2.032879073410321e-19,4.912791094074942e-20,-0.0009702970297029677,0.0002910891089108903,0.0002910891089108906,-4.54691870610944e-20,-1.08289927882538e-19,-1.553494736499445e-20,0.002970297029702969,-0.001485148514851484,-0.001485148514851485,-1.298666330205458e-19,-9.499797945849408e-20,6.466285830574388e-20,0.002970297029703191,0.125
4,0.4,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,-194059405.9405934,-6.705522537231445e-08,-1.192092895507812e-07,-1.392279840837886e-08,-6.274281961465915e-10,1.864301280932086e-08,0.002,-0.001194059405940594,-0.001194059405940594,-7.928228386300251e-19,1.084202172485504e-19,-2.168404344971009e-19,-0.0009702970297029668,0.00029108910891089,0.0002910891089108897,-1.809963793089252e-19,-8.156566549905688e-21,2.423591665211712e-19,0.002970297029702967,-0.001485148514851483,-0.001485148514851484,-6.118264593210999e-19,1.165767837984561e-19,-4.59199601018272e-19,0.002970297029703189,0.1250000000000001
4,0.4,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,-194059405.9405932,2.011656761169434e-07,1.639127731323242e-07,-1.392279840837886e-08,8.889130307037748e-09,3.910329267137716e-08,0.002,-0.001194059405940594,-0.001194059405940593,-7.928228386300251e-19,6.505213034913027e-19,-3.540597719522975e-19,-0.0009702970297029668,0.0002910891089108906,0.0002910891089108904,-1.809963793089251e-19,1.155586939914907e-19,5.08342804727903e-19,0.002970297029702968,-0.001485148514851485,-0.001485148514851484,-6.118264593211e-19,5.349626094998119e-19,-8.624025766802006e-19,0.002970297029703189,0.125
4,0.4,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,-194059405.9405935,3.725290298461914e-08,1.490116119384766e-08,3.001699606047965e-09,-1.837971210785737e-09,-2.797052260098728e-08,0.002,-0.001194059405940594,-0.001194059405940594,-3.591419696358233e-19,-7.420008617947671e-19,-1.761828530288945e-19,-0.0009702970297029677,0.0002910891089108904,0.0002910891089108903,3.902209487862354e-20,-2.389362574021457e-20,-3.636167938128347e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,-3.981640645144468e-19,-7.181072360545525e-19,1.874339407839402e-19,0.00297029702970319,0.125
4,0.4,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,-194059405.9405935,1.266598701477051e-07,4.470348358154297e-08,3.001699606047965e-09,5.351941193070882e-09,-3.654931177357617e-08,0.002,-0.001194059405940594,-0.001194059405940594,-3.591419696358233e-19,-5.285485590866834e-19,5.285485590866834e-19,-0.0009702970297029681,0.000291089108910891,0.0002910891089108904,3.902209487862354e-20,6.957523550992146e-20,-4.751410530564902e-19,0.002970297029702969,-0.001485148514851485,-0.001485148514851484,-3.981640645144468e-19,-5.981237945966049e-19,1.003689612143174e-18,0.002970297029703191,0.125
4,0.4,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,-194059405.9405936,-1.043081283569336e-07,-1.341104507446289e-07,1.210686436795632e-08,-3.210064535668757e-09,-1.47743333872984e-08,0.002,-0.001194059405940594,-0.001194059405940594,-1.355252715606881e-18,1.761828530288945e-19,-6.098637220230962e-19,-0.0009702970297029677,0.0002910891089108901,0.0002910891089108899,1.573892367834322e-19,-4.173083896369383e-20,-1.920663340348792e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,-1.512641952390313e-18,2.179136919925883e-19,-4.17797387988217e-19,0.00297029702970319,0.125
4,0.4,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,-194059405.9405935,4.470348358154297e-08,-2.980232238769531e-08,1.180293959494999e-08,-2.627345806451093e-08,-7.694039249702524e-11,0.002,-0.001194059405940594,-0.001194059405940594,-1.382357769919018e-18,4.87890977618477e-19,-3.049318610115481e-20,-0.0009702970297029677,0.0002910891089108905,0.0002910891089108901,1.534382147343498e-19,-3.41554954838642e-19,-1.000225102461327e-21,0.002970297029702968,-0.001485148514851485,-0.001485148514851484,-1.535795984653368e-18,8.29445932457119e-19,-2.949296099869347e-20,0.00297029702970319,0.125
5,0.5,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,-209783354.5730817,-1.788139343261719e-07,-1.192092895507812e-07,-1.018978527912883e-10,-4.272525410110909e-09,-9.354213395890237e-09,-4.336808689942018e-19,-0.0002097833545730821,-0.0002097833545730817,-1.787239518706574e-19,-3.625301014248405e-19,-3.86247023947961e-19,-0.001048916772865408,0.000314675031859622,0.0003146750318596224,-1.324672086286751e-21,-5.554283033144179e-20,-1.216047741465731e-19,0.001048916772865408,-0.0005244583864327041,-0.0005244583864327041,-1.773992797843706e-19,-3.069872710933988e-19,-2.646422498013879e-19,0.004891677286540749,0.1250000000000001
5,0.5,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,-209783354.5730817,-2.980232238769531e-07,-2.980232238769531e-07,-1.123344034988943e-09,-9.706661464585147e-09,-1.220859012307279e-09,0,-0.0002097833545730819,-0.0002097833545730819,-1.753358200816402e-19,-4.87890977618477e-19,1.524659305057741e-20,-0.001048916772865408,0.0003146750318596216,0.0003146750318596216,-1.460347245485626e-20,-1.261865990396069e-19,-1.587116715999462e-20,0.001048916772865408,-0.0005244583864327038,-0.0005244583864327038,-1.607323476267839e-19,-3.617043785788701e-19,3.111776021057203e-20,0.004891677286540752,0.125
5,0.5,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,-209783354.5730814,-2.980232238769531e-08,-8.940696716308594e-08,-1.793038406940689e-09,1.807427802668273e-09,-6.735660262944017e-09,0,-0.0002097833545730821,-0.0002097833545730819,-6.844026213814747e-19,1.897353801849633e-19,-7.318364664277155e-19,-0.001048916772865407,0.0003146750318596221,0.000314675031859622,-2.330949929022895e-20,2.349656143468755e-20,-8.756358341827221e-20,0.001048916772865407,-0.0005244583864327042,-0.0005244583864327041,-6.610931220912457e-19,1.662388187502757e-19,-6.442728830094432e-19,0.004891677286540749,0.1250000000000001
5,0.5,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,-209783354.5730813,2.980232238769531e-08,2.980232238769531e-08,-1.793038406940686e-09,8.460073477010728e-10,1.174921799147382e-09,4.336808689942018e-19,-0.0002097833545730821,-0.000209783354573081,-6.844026213814747e-19,5.692061405548898e-19,-8.148456952586369e-19,-0.001048916772865406,0.000314675031859622,0.000314675031859622,-2.330949929022891e-20,1.099809552011394e-20,1.527398338891598e-20,0.001048916772865407,-0.0005244583864327041,-0.0005244583864327032,-6.610931220912457e-19,5.582080450347758e-19,-8.30119678647553e-19,0.004891677286540749,0.125
5,0.5,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,-209783354.5730815,-2.086162567138672e-07,-1.490116119384766e-07,9.640646852950191e-10,-1.666183270094031e-08,-2.237631336087463e-08,0,-0.0002097833545730823,-0.0002097833545730815,-3.591419696358233e-19,-1.39252216528607e-18,-7.182839392716467e-19,-0.001048916772865407,0.0003146750318596215,0.000314675031859622,1.253284090883525e-20,-2.166038251122241e-19,-2.908920736913702e-19,0.001048916772865407,-0.0005244583864327037,-0.0005244583864327037,-3.716748105446585e-19,-1.175918340173846e-18,-4.273918655802765e-19,0.004891677286540751,0.125
5,0.5,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,-209783354.5730815,-1.490116119384766e-07,-1.490116119384766e-07,9.640646852950191e-10,-1.502227432126683e-08,-5.042180688768703e-09,4.336808689942018e-19,-0.0002097833545730825,-0.0002097833545730819,-3.591419696358233e-19,-1.206174916890124e-18,7.995991022080595e-19,-0.001048916772865408,0.000314675031859622,0.000314675031859622,1.253284090883525e-20,-1.952895661764688e-19,-6.554834895399317e-20,0.001048916772865408,-0.0005244583864327045,-0.0005244583864327037,-3.716748105446585e-19,-1.010885350713655e-18,8.651474511620527e-19,0.004891677286540752,0.125
5,0.5,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,-209783354.5730817,-2.384185791015625e-07,-2.682209014892578e-07,3.888397214460239e-09,9.683364861063143e-09,-2.349522984550835e-08,0,-0.0002097833545730825,-0.0002097833545730821,-1.355252715606881e-18,6.098637220230962e-19,-1.368805242762949e-18,-0.001048916772865408,0.0003146750318596221,0.0003146750318596216,5.054916378798311e-20,1.258837431938209e-19,-3.054379879916087e-19,0.001048916772865408,-0.0005244583864327046,-0.000524458386432704,-1.405801879394864e-18,4.839799788292753e-19,-1.063367254771341e-18,0.004891677286540749,0.125
5,0.5,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,-209783354.5730816,-2.086162567138672e-07,-2.086162567138672e-07,3.790784801795306e-09,-1.111691143230887e-08,-2.703298852818814e-09,0,-0.0002097833545730828,-0.0002097833545730812,-1.382357769919018e-18,3.794707603699266e-19,-1.389134033497053e-19,-0.001048916772865407,0.0003146750318596215,0.0003146750318596218,4.928020242333899e-20,-1.445198486200153e-19,-3.514288508664459e-20,0.001048916772865407,-0.0005244583864327041,-0.0005244583864327032,-1.431637972342357e-18,5.239906089899418e-19,-1.037705182630607e-19,0.004891677286540751,0.125
6,0.6000000000000001,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,-213743750.6126854,1.192092895507812e-07,5.960464477539062e-08,2.791450148825864e-09,3.621818444522145e-09,2.999056657925059e-09,-0.002,0.0007862562493873148,0.0007862562493873148,-6.352747104407253e-20,-1.592421940838085e-19,-1.423015351387225e-19,-0.001068718753063427,0.0003206156259190286,0.000320615625919028,3.628885193473623e-20,4.708363977878785e-20,3.898773655302577e-20,-0.0009312812469365731,0.000465640623468286,0.0004656406234682867,-9.981632297880876e-20,-2.063258338625963e-19,-1.812892716917482e-19,0.00687187530634273,0.1250000000000001
6,0.6000000000000001,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,-213743750.6126856,-2.682209014892578e-07,-2.682209014892578e-07,2.465934029646536e-09,3.551190437211786e-09,2.75387177121785e-10,-0.002,0.0007862562493873148,0.0007862562493873148,-6.013933925505532e-20,-2.168404344971009e-19,4.235164736271502e-20,-0.001068718753063428,0.0003206156259190276,0.0003206156259190276,3.205714238540497e-20,4.616547568375319e-20,3.580033302583206e-21,-0.0009312812469365725,0.000465640623468287,0.000465640623468287,-9.21964816404603e-20,-2.630059101808541e-19,3.877161406013182e-20,0.006871875306342732,0.125
6,0.6000000000000001,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,-213743750.6126854,-5.960464477539062e-08,-2.980232238769531e-08,8.730926611645966e-09,1.90489900968869e-09,1.380032888618202e-08,-0.002,0.0007862562493873146,0.0007862562493873148,-3.049318610115481e-19,2.439454888092385e-19,-8.131516293641283e-20,-0.001068718753063427,0.000320615625919028,0.000320615625919028,1.135020459513976e-19,2.476368712595298e-20,1.794042755203662e-19,-0.0009312812469365734,0.0004656406234682866,0.0004656406234682867,-4.184339069629457e-19,2.191818016832855e-19,-2.60719438456779e-19,0.006871875306342729,0.1250000000000001
6,0.6000000000000001,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,-213743750.612685,3.278255462646484e-07,3.576278686523438e-07,8.730926611645975e-09,-5.046013004697531e-09,9.510647839189017e-09,-0.002,0.0007862562493873146,0.0007862562493873156,-3.049318610115481e-19,3.523657060577889e-19,-4.421511984667448e-19,-0.001068718753063426,0.0003206156259190286,0.0003206156259190286,1.135020459513977e-19,-6.55981690610679e-20,1.236384219094572e-19,-0.0009312812469365731,0.000465640623468286,0.0004656406234682869,-4.184339069629458e-19,4.179638751188568e-19,-5.657896203762021e-19,0.006871875306342729,0.125
6,0.6000000000000001,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,-213743750.6126854,1.490116119384766e-07,1.192092895507812e-07,2.965039687429612e-09,1.528820771455952e-08,8.815940294201087e-09,-0.002,0.0007862562493873146,0.0007862562493873148,-2.507217523872729e-19,-5.522654816098038e-19,-6.776263578034403e-20,-0.001068718753063428,0.0003206156259190289,0.0003206156259190289,3.854551593658495e-20,1.987467002892737e-19,1.146072238246141e-19,-0.0009312812469365718,0.0004656406234682858,0.0004656406234682858,-2.892672683238578e-19,-7.510121818990777e-19,-1.823698596049582e-19,0.00687187530634273,0.125
