time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl_x_w_m2,hfl_y_w_m2,hfl_z_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ivol_m3
2,2,2,1.788675134594815,0.2113248654051851,0.2113248654051851,420,-618.8024334811645,0.0003021931477941875,-0.002558701062102274,-20511714.58148965,-8310559.913915271,-8310555.555085273,-16461780.45196927,-16461770.00833937,-82960.43844013393,0.0007132645044402013,0.0007951680001342378,0.0007951680293940434,-0.0002210081588338852,-0.0002210080186225987,-1.113788013951585e-06,0.125
2,2,3,1.211324865405185,0.7886751345948151,0.2113248654051851,300.9988230834128,-477.191112720284,0.0008697048951063918,-0.007363848483771966,23717741.74819865,-30067496.74335819,-31253353.42169562,21073819.72904645,-15272678.78801849,-1026983.367129804,0.0009945738646092892,0.0006582212847076972,0.0006508053846514961,0.0002635754282416557,-0.000191019136715913,-1.284473267156223e-05,0.125
2,2,4,1.788675134594815,0.7886751345948151,0.211324865405185,420,-618.8032590881985,0.0003021931477833267,-0.002558689236000497,-23729763.47714918,-6588207.796015568,-6814858.777325371,17162200.6459269,-16680825.56422057,-196284.9012068633,0.0006916624953640185,0.0008067297467980112,0.0008052082918064529,0.0002304116725016994,-0.0002239489559792167,-2.635229205564485e-06,0.125
2,2,5,1.211324865405185,0.211324865405185,0.7886751345948151,301.0014265250967,-477.1881833887571,0.0008697445766418597,-0.007363930327892454,23717699.99632935,-31253328.61160427,-30067470.00301373,-15272658.28999694,21073792.69846304,-1026982.321895762,0.000994573925553782,0.0006508053425423557,0.0006582212658723448,-0.0001910191689013519,0.0002635754883284693,-1.284473900220736e-05,0.1250000000000001
2,2,6,1.788675134594815,0.211324865405185,0.788675134594815,420,-618.7954429798618,0.0003022049738112078,-0.002558701061848509,-23729756.22209843,-6814863.556377563,-6588210.272014121,-16680835.00649084,17162212.16642951,-196288.1085100317,0.0006916625440654763,0.000805208259725794,0.0008067297301772125,-0.0002239490827467175,0.0002304118271705749,-2.635272265315532e-06,0.125
2,2,7,1.211324865405185,0.7886751345948151,0.7886751345948151,301.0011515116786,-477.1884928219828,0.0008697439803645362,-0.007363891242483385,20602506.55370055,-29102803.78086092,-29102802.42619649,21291241.05010947,21291241.84276274,-1619910.701198523,0.0009750926212763443,0.0006642539521102833,0.0006642539605818548,0.0002662951297703924,0.0002662951396843145,-2.026064752997994e-05,0.125
2,2,8,1.788675134594815,0.7886751345948151,0.7886751345948151,420,-618.7962686192046,0.0003022049737677646,-0.002558689236382969,-26924581.51702743,-5104123.238843215,-5104125.294619575,17382195.16398773,17382202.9473653,-309612.5712767476,0.0006702164295856871,0.0008166920590913704,0.0008166920452914248,0.0002333652159250268,0.0002333653204210108,-4.15671345692825e-06,0.125
3,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,300,-3.999779040925243,0.0003506375369100034,-0.003375169773819575,36239005.52727889,565436.2537419726,565431.9521124195,2973567.387819126,2973568.472935552,-970381.3351872424,0.0001857923180818043,-3.716748987780143e-05,-3.716751676298615e-05,3.716959234773908e-05,3.71696059116944e-05,-1.212976668984053e-05,0.1250000000000001
3,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,300.9991886252267,-4.009770375228025,0.001311865941024384,-0.01262777029200273,4414219.586200792,16475958.98291197,16475959.71577757,-12766244.46527283,-12766242.93391115,-670055.9697601181,-1.313395197782685e-05,6.22956294178889e-05,6.229563400095471e-05,-0.0001596705822169342,-0.0001596705630638143,-8.380556012425071e-06,0.125
3,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,300,-3.99882108135955,0.0003506375369100034,-0.003375148514800586,16126430.69134785,11947289.34815866,9296153.693626771,26844718.53624484,3031942.223806837,-2295946.769184191,6.008872535723532e-05,3.396909196230284e-05,1.739949412147855e-05,0.0003355589817030605,3.789927779758546e-05,-2.869933461480239e-05,0.1250000000000001
3,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,300.9987738257723,-4.008805875934572,0.001311864584010973,-0.01262767769205738,-15959696.25943491,27578231.05838443,25747605.03728065,11091076.4243759,-12958002.86810244,-1585370.147950973,-0.0001405447188846401,0.0001317250370757488,0.000120276993249908,0.0001387188071383872,-0.0001620689130595471,-1.982861242514091e-05,0.125
3,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,300,-4.009000176231575,0.0003506587959289931,-0.003375169773819575,16126431.12588926,9296158.020439837,11947284.58680418,3031940.815578208,26844722.13882131,-2295947.01163841,6.008872807311911e-05,1.739952116406022e-05,3.396906220383736e-05,3.78992601947276e-05,0.0003355590267352664,-2.869933764548013e-05,0.125
3,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,301.0031815031456,-4.019054563288832,0.001311958542301556,-0.01262789603076541,-15959628.05959478,25747563.66318398,27578187.74800833,-12957971.58196953,11091052.10602508,-1585365.453395105,-0.000140544712490594,0.0001202769814679145,0.0001317250424636962,-0.0001620689362515695,0.0001387188577597577,-1.982860442133172e-05,0.125
3,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,300,-4.008042158585118,0.0003506587957957663,-0.003375148514933812,-4319799.377414985,20844838.94854312,20844834.16200513,27312812.8849836,27312817.69343123,-3621512.445635359,-6.77002125725324e-05,8.957877696470578e-05,8.957874704884332e-05,0.000341410161062295,0.0003414102211678904,-4.526890557044199e-05,0.125
3,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,301.0027666601307,-4.018089986207687,0.001311957185063354,-0.01262780342854582,-36666963.23423038,37016543.06230342,37016545.07503224,11308776.6326875,11308781.88521186,-2500677.731314286,-0.0002700408273184898,0.0001907490630863158,0.0001907490756731908,0.000141441964615998,0.0001414420303107579,-3.127666083404757e-05,0.125
3,2,1,1.211324865405185,0.211324865405185,0.211324865405185,300.9991886252267,-477.189255975044,0.00131186594084194,-0.0126277702920712,26857905.4386773,-32230527.10376062,-32230523.09641099,-15018863.3264332,-15018857.14990835,-434054.9624711496,0.001014217508709585,0.0006447006765667549,0.0006447007016272123,-0.0001878446443737986,-0.0001878445671224721,-5.428832947735412e-06,0.1250000000000001
3,2,2,1.788675134594815,0.2113248654051851,0.2113248654051851,420,-618.8002872467973,0.000455828797986582,-0.004387720706268318,-20511735.19430706,-8310569.742229293,-8310562.362636244,-16461802.13593627,-16461784.45465242,-82960.30649706653,0.0007132705670634345,0.0007951741351513184,0.0007951741846887992,-0.0002210084499526764,-0.0002210082125720357,-1.113786242545723e-06,0.125
3,2,3,1.211324865405185,0.7886751345948151,0.2113248654051851,300.9987738257723,-477.1897227149923,0.00131186458382853,-0.0126276776919496,23717777.97662415,-30067533.47677289,-31253390.82252526,21073846.52540546,-15272696.7740225,-1026984.886557069,0.0009945802813498207,0.0006582272547858681,0.0006508113507678631,0.0002635757558569151,-0.0001910193562116682,-1.284475130829016e-05,0.125
3,2,4,1.788675134594815,0.7886751345948151,0.211324865405185,420,-618.8015325942329,0.0004558287979018247,-0.004387693069200236,-23729788.41888089,-6588214.528745288,-6814864.351546355,17162221.33608202,-16680840.8062389,-196283.4776614752,0.0006916685289282633,0.0008067359025950246,0.0008052144553802643,0.0002304119502780374,-0.0002239491606114201,-2.635210093710444e-06,0.125
3,2,5,1.211324865405185,0.211324865405185,0.7886751345948151,301.0031815031456,-477.1847632404859,0.001311958542100812,-0.01262789603084223,23717707.28978544,-31253348.81848686,-30067488.20478103,-15272662.07044024,21073800.76205095,-1026983.11695139,0.0009945803845300609,0.0006508112794762395,0.0006582272228972516,-0.0001910194107023751,0.000263575857585265,-1.284476202619784e-05,0.1250000000000001
3,2,6,1.788675134594815,0.211324865405185,0.788675134594815,420,-618.788299770899,0.000455856434452631,-0.004387720706014552,-23729776.1359385,-6814872.442577933,-6588218.72065608,-16680856.79219928,17162240.84053562,-196288.9076941212,0.0006916686113807808,0.0008052144010670629,0.0008067358744557086,-0.0002239493752314414,0.0002304122121357017,-2.635282994787031e-06,0.125
3,2,7,1.211324865405185,0.7886751345948151,0.7886751345948151,301.0027666601307,-477.1852300059493,0.001311957184842575,-0.01262780342855691,20602514.88740911,-29102824.23785681,-29102821.94438341,21291249.42128706,21291250.76327111,-1619911.810063636,0.0009750990512035043,0.0006642599106787488,0.0006642599250212987,0.0002662954840377287,0.0002662955008222904,-2.026068038675264e-05,0.125
3,2,8,1.788675134594815,0.7886751345948151,0.7886751345948151,420,-618.7895451938396,0.0004558564347047733,-0.004387693069287124,-26924605.84367958,-5104128.987510393,-5104132.467982655,17382217.776398,17382230.95381824,-309612.0788585163,0.0006702224672788169,0.0008166982214941654,0.0008166981981305696,0.0002333655195086625,0.0002333656964225385,-4.15670684595157e-06,0.125
4,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,300,-3.999738419804263,0.0004688180784158114,-0.00337515756678064,8448118.329489715,166252.492888798,166251.4246247564,703750.2007094086,703750.4660460223,-225695.6556434154,4.783553382154646e-05,-3.926127657209269e-06,-3.92613433385953e-06,8.796877508867607e-06,8.796880825575277e-06,-2.821195695542693e-06,0.1250000000000001
4,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,300.9992080169797,-4.009729846541488,0.001754023555929462,-0.01262772523178855,1004002.307404072,3887871.012680035,3887871.209295878,-2955558.121076768,-2955557.763531301,-155099.5917380203,1.304669950994501e-06,1.933930032496084e-05,1.933930155452239e-05,-3.696589804166788e-05,-3.696589356975809e-05,-1.939869039828993e-06,0.125
4,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,300,-3.998457584994638,0.0004688180784158114,-0.003375123697191285,3772292.951262435,2812471.202747183,2195858.092993673,6287453.548927173,717575.7792613036,-534001.6331640689,1.861162520762593e-05,1.26127392794056e-05,8.758907343446165e-06,7.859316936158965e-05,8.969697240766295e-06,-6.675020414550861e-06,0.1250000000000001
4,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,300.998653413904,-4.008440268288651,0.00175402113002228,-0.01262758104834163,-3733287.071511019,6468385.921786301,6044646.166470088,2624910.347435594,-3000249.309081549,-366969.7669068116,-2.832054393109167e-05,3.547686199341008e-05,3.282695376815927e-05,3.283039381105418e-05,-3.752484973238018e-05,-4.589780361859387e-06,0.125
4,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,300,-4.008959521760539,0.0004688519480904318,-0.00337515756678064,3772293.04566793,2195859.157279041,2812470.044056304,717575.4434276377,6287454.446760733,-534001.6763881519,1.861162579766029e-05,8.758913995229734e-06,1.261273203758763e-05,8.969693042845472e-06,7.859318058450916e-05,-6.675020954851897e-06,0.125
4,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,301.0032008859181,-4.019014001120139,0.00175416774159095,-0.01262785097004163,-3733270.607894612,6044636.149722889,6468375.478754438,-3000241.820505433,2624904.410916664,-366968.6493153025,-2.832054253855092e-05,3.28269509087183e-05,3.54768634603103e-05,-3.752485508550307e-05,3.28304061891758e-05,-4.589778494641374e-06,0.125
4,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,300,-4.007678594417376,0.0004688519479572051,-0.003375123697324511,-981588.0741927456,4881105.737954125,4881104.583241913,6397591.863403622,6397593.024335761,-842307.6539088055,-1.110013120146895e-05,2.554170512444899e-05,2.554169790749767e-05,7.996989829254527e-05,7.996991280419702e-05,-1.052884567386007e-05,0.125
4,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,301.0026462134423,-4.017724303835843,0.001754165315204921,-0.01262770678300848,-8548560.889354937,8664150.951084483,8664151.446281094,2676470.771549553,2676472.024169046,-578838.40181995,-5.84336048058458e-05,4.920843676977195e-05,4.920843986655152e-05,3.347535016419678e-05,3.347536583105055e-05,-7.239689816671747e-06,0.125
4,2,1,1.211324865405185,0.211324865405185,0.211324865405185,300.9992080169797,-116.2900325585524,0.00175402355597496,-0.012627725231971,6261743.310250271,-7527419.630327158,-7527418.669811096,-3498842.326824194,-3498840.925699171,-99927.04259493836,0.0002409706961548432,0.000154738456682654,0.0001547384626893603,-4.376088827180119e-05,-4.376087074758322e-05,-1.249812291569531e-06,0.1250000000000001
4,2,2,1.788675134594815,0.2113248654051851,0.2113248654051851,330,-124.7002811987104,0.0005039794341476246,-0.003628294384478095,-4820446.668632615,-1973413.388267339,-1973411.634936416,-4017558.468043437,-4017554.160959458,-19328.07806613622,0.0001714103429124736,0.0001895186307312437,0.0001895186418831402,-5.11066067051617e-05,-5.110655191555534e-05,-2.45868850932677e-07,0.125
4,2,3,1.211324865405185,0.7886751345948151,0.2113248654051851,300.998653413904,-116.2911557558826,0.001754021130067777,-0.01262758104821289,5569658.625720866,-7044874.513281301,-7317879.590434011,4843564.235643115,-3558310.665191686,-236429.9011914604,0.0002366426427137402,0.0001577561216749114,0.0001560488511382058,6.057963901915809e-05,-4.450465919891142e-05,-2.957086428649819e-06,0.125
4,2,4,1.788675134594815,0.7886751345948151,0.211324865405185,330,-124.7016580961308,0.0005039794341997503,-0.003628257974386013,-5572786.761357255,-1570840.048133226,-1623644.882345774,4184789.447486877,-4071361.768928623,-45730.07558372899,0.0001666251544039253,0.0001920791606560558,0.0001917433004668765,5.323392058579753e-05,-5.179102839053364e-05,-5.817237026031718e-07,0.125
4,2,5,1.211324865405185,0.211324865405185,0.7886751345948151,301.0032008859181,-116.2819462646553,0.001754167741525143,-0.01262785096983352,5569641.373940744,-7317869.371362682,-7044863.478333354,-3558302.265072748,4843553.267719977,-236429.4697326695,0.0002366426667552218,0.0001560488343139246,0.0001577561144577111,-4.450467156836646e-05,6.057966168856617e-05,-2.957088834981357e-06,0.1250000000000001
4,2,6,1.788675134594815,0.211324865405185,0.788675134594815,330,-124.6903685141074,0.0005040158440474051,-0.003628294384581421,-5572783.719550874,-1623646.860325767,-1570841.111959641,-4071365.670789819,4184794.159041129,-45731.37183786486,0.0001666251737510492,0.0001917432878861205,0.0001920791538896879,-5.17910780253771e-05,5.323398052059427e-05,-5.817401920085753e-07,0.125
4,2,7,1.211324865405185,0.7886751345948151,0.7886751345948151,301.0026462134423,-116.2830695601969,0.00175416531523305,-0.01262770678291313,4883881.002401233,-6838486.771025375,-6838486.195300385,4893734.696174309,4893734.970540404,-372932.0560169518,0.0002323541546316852,0.0001590467286473984,0.0001590467322477733,6.120727500800251e-05,6.120727843957413e-05,-4.664362972061761e-06,0.125
4,2,8,1.788675134594815,0.7886751345948151,0.7886751345948151,330,-124.6917455110014,0.0005040158441336942,-0.003628257974335648,-6318907.020926345,-1224181.915866314,-1224182.755043692,4238791.342595933,4238794.541838191,-72133.36935545082,0.0001618795265600672,0.0001942840471521496,0.0001942840418146406,5.392086855099192e-05,5.392090924795183e-05,-9.175950436789835e-07,0.125
