id,x,y,z,gap,constraint_pressure,recovered_pressure,normal_force_x,normal_force_y,normal_force_z,tangential_force_x,tangential_force_y,tangential_force_z,slip_x,slip_y,slip_z,elastic_slip_x,elastic_slip_y,elastic_slip_z,projected,sliding,primary_face
2243,-0.0022449678399163739,-0.0033598318062175387,0.00125,-8.6521018234000427e-06,86521.018234000425,86685.235823442548,-0.031812852978539058,-0.047611298639451384,-2.8270821116503596e-05,-3.1764059380266589e-08,-4.7562921516591807e-08,0.0001145232433761104,-1.430971420669684e-07,-2.1426199806273079e-07,0.00053218320841361458,-1.3483305141919638e-09,-2.0172997818531409e-09,5.0117734458057191e-06,1,1,122
2245,-7.5683172187306446e-19,-0.0041200000000000004,0.00093749999999999997,-8.0235085552719003e-06,80235.085552719,79028.287254586539,4.8144919041065437e-12,-0.052253847366350359,-3.5541699763962776e-05,1.8258675563735466e-11,-7.2025002876006509e-08,0.00010655504224745824,1.8642656843390923e-10,-3.3823094208034574e-07,0.00049328281128632637,1.4941521085705248e-12,-3.4364397369340801e-09,5.0117728550340977e-06,1,1,108
2246,-0.00078832787067208566,-0.0039631918369732507,0.00125,-8.6521094831216275e-06,86521.09483121628,86685.298321325186,-0.011171197283043124,-0.056161399836381208,-2.8271025329792403e-05,-1.1144633663700409e-08,-5.6098100560852889e-08,0.00011452333257281622,-5.021007438013831e-08,-2.5271495729917349e-07,0.00053218320570944523,-4.7370961615102942e-10,-2.37974224069068e-09,5.0117734457977027e-06,1,1,123
2290,0.0015766557413441694,-0.0038063836739465019,0.00093749999999999997,-8.023503433774097e-06,80235.034337740974,79028.231953442664,0.01999667022272401,-0.04827623852990668,-3.554158788075981e-05,2.7581058011023365e-08,-6.6534838900181407e-08,0.00010655499263211824,1.2961016620364088e-07,-3.1241126178832859e-07,0.000493282813708766,1.3165335169687168e-09,-3.1742395228416974e-09,5.0117728550404072e-06,1,1,109
2291,0.00078832787067208436,-0.0039631918369732507,0.00125,-8.6521094961326126e-06,86521.094961326133,86685.298472365277,0.011171197300561105,-0.056161399924446138,-2.8271025373018591e-05,1.1174732397054734e-08,-5.6092113640624203e-08,0.0001145233327523966,5.0327742794541524e-08,-2.5269155159268492e-07,0.00053218320570940436,4.732075476075539e-10,-2.3798421083075252e-09,5.0117734457977121e-06,1,1,124
2293,0.0029132799384885754,-0.0029132799384885767,0.00093749999999999997,-8.0234990079572944e-06,80234.990079572948,79028.183844095387,0.036949016512846794,-0.036949016519786063,-3.5541445808396699e-05,5.0942232760389479e-08,-5.0916411112566536e-08,0.00010655494606831199,2.3929539197152544e-07,-2.3903174493339009e-07,0.00049328281608309146,2.4309678075349169e-09,-2.4288547575613537e-09,5.0117728550520929e-06,1,1,110
2294,0.0022449678399163722,-0.0033598318062175395,0.00125,-8.6521018371368267e-06,86521.018371368264,86685.235976408483,0.031812853029674681,-0.047611298715982936,-2.8270821160795135e-05,3.178957593650678e-08,-4.7545872011006511e-08,0.00011452324356019626,1.4319689679147299e-07,-2.1419534408556517e-07,0.00053218320841357479,1.3479048879590581e-09,-2.017584176207228e-09,5.0117734458057292e-06,1,1,125
2296,0.0038063836739465019,-0.0015766557413441709,0.00093749999999999997,-8.0235034105955927e-06,80235.034105955929,79028.231695777737,0.048276238435469562,-0.019996670183507294,-3.5541587812071103e-05,6.6548813358215414e-08,-2.7547320330962905e-08,0.00010655499242360035,3.1255394654940743e-07,-1.292656947229155e-07,0.00049328281370814605,3.1753830977163868e-09,-1.3137726830450847e-09,5.011772855040464e-06,1,1,111
2297,0.0033598318062175387,-0.0022449678399163739,0.00125,-8.6521018234017876e-06,86521.018234017873,86685.235823452225,0.047611298639457345,-0.031812852978543069,-2.8270821116543566e-05,4.7562921517416017e-08,-3.1764059378969854e-08,0.00011452324337612478,2.1426199806224446e-07,-1.4309714206917309e-07,0.00053218320841361762,2.0172997819573156e-09,-1.3483305140499377e-09,5.0117734458057182e-06,1,1,126
2299,0.0039631918369732507,-0.00078832787067208544,0.00125,-8.6521094831219324e-06,86521.094831219321,86685.29832132849,0.056161399836382575,-0.011171197283043385,-2.8271025329765996e-05,5.6098100560954851e-08,-1.1144633663270399e-08,0.00011452333257281898,2.5271495729842313e-07,-5.0210074379745326e-08,0.00053218320570944718,2.3797422406794527e-09,-4.7370961616819694e-10,5.0117734457977027e-06,1,1,127
2363,0.0041200000000000004,0,0.0015625000000000001,-9.044944531503458e-06,90449.44531503458,89722.963673231425,0.059225919061753098,6.4794738584977862e-12,-2.1311136157716835e-05,4.3006981389844406e-08,2.1531930784696763e-11,0.00012077229322069909,1.9156063136320639e-07,2.101046411891344e-10,0.00053140951212720094,1.8066265540194529e-09,1.4729569913488503e-12,5.0117737075485814e-06,1,1,127
2364,0.0038063836739465019,0.00157665574134417,0.0015625000000000001,-9.0449384628685717e-06,90449.384628685715,89722.897105919401,0.054717587571296002,0.022664763642418449,-2.1311022560880542e-05,3.9724243284812314e-08,1.6480233447450896e-08,0.00012077223134349232,1.7689559413477648e-07,7.3505477952742069e-08,0.00053140951368871065,1.6684820174637804e-09,6.9284405113118656e-10,5.0117737075522278e-06,1,1,113
2366,0.0039631918369732507,0.00078832787067208501,0.0018749999999999999,-9.2931831716223747e-06,92931.831716223751,92786.097277034874,0.06066367021544472,0.012066754605630309,-1.6249125291072327e-05,3.223200100079603e-08,6.4315393851779406e-09,0.00012370428343375889,1.336329709139433e-07,2.6675186087085269e-08,0.0005306916939808009,1.2621808291722092e-09,2.5105776032898711e-10,5.0117738679480012e-06,1,1,144
2368,0.0029132799384885763,0.0029132799384885759,0.0015625000000000001,-9.0449325320310703e-06,90449.325320310701,89722.831168957026,0.041879006278102433,0.041879006268638115,-2.1310905537221709e-05,3.0395499258846101e-08,3.0425950006596985e-08,0.00012077216982859982,1.3530366842891117e-07,1.3560080136543594e-07,0.00053140951512470986,1.276421379252086e-09,1.2785044554050922e-09,5.011773707556214e-06,1,1,114
2369,0.0033598318062175391,0.0022449678399163731,0.0018749999999999999,-9.2931737625333696e-06,92931.737625333699,92786.021615552265,0.051428130791500347,0.034363178797612304,-1.6248945911597969e-05,2.7317262356627953e-08,1.8276651139180682e-08,0.00012370417419032282,1.1325122287295532e-07,7.5783224564715956e-08,0.00053069169570496685,1.0700151632653049e-09,7.1495616437591979e-10,5.0117738679515612e-06,1,1,145
