step,input_kind,input_index,delta_m,output_index,output_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
S2_PLUS,secondary,2,1e-06,7,33,-0.006835937500000012,76141.47490483383,-4758.842181552114,0,0
S2_PLUS,secondary,2,1e-06,8,35,-0.00830078124999995,79498.48648897804,-9937.310811122257,0,0
S2_PLUS,secondary,2,1e-06,9,37,-0.004882812499999989,61493.03736337576,-3843.314835210985,0,0
S2_MINUS,secondary,2,-1e-06,1,7,-0.01464825000001943,125577.6080869692,-7848.600543716203,-0.01097976051081816,0.004971698556737892
S2_MINUS,secondary,2,-1e-06,2,11,-0.01122990673504901,110622.5124349052,-13827.81437132341,-0.0004069011579969032,0.01811913270645641
S2_MINUS,secondary,2,-1e-06,3,15,-0.01269512500001685,110929.1707804044,-6933.073181529355,0.00975905735052879,0.004564797480028994
S2_MINUS,secondary,2,-1e-06,4,23,-0.008789031106238967,92620.14580978785,-11577.51814541166,-0.004717440577532202,0.004132530063986548
S2_MINUS,secondary,2,-1e-06,5,25,-0.009033109333446905,89873.09578676385,-22468.27390805419,-0.0002034505539848811,0.01590696551710963
S2_MINUS,secondary,2,-1e-06,6,27,-0.006835906128357942,77971.70842084332,-9746.46347540717,0.004107089012543612,0.00372562901622858
S2_MINUS,secondary,2,-1e-06,7,33,-0.006835937500000012,76141.23993885236,-4758.827496178273,0,0
S2_MINUS,secondary,2,-1e-06,8,35,-0.00830078124999995,79498.0955422742,-9937.261942784276,0,0
S2_MINUS,secondary,2,-1e-06,9,37,-0.004882812499999989,61492.8024803253,-3843.300155020331,0,0
S3_PLUS,secondary,3,1e-06,1,7,-0.01464843749999994,125580.0198891023,-7848.751243068896,0,0
S3_PLUS,secondary,3,1e-06,2,11,-0.01123056267412525,110627.3350676586,-13828.41707428395,0.009339808297994315,-0.004565029451758123
S3_PLUS,secondary,3,1e-06,3,15,-0.01269587500002953,110934.9223181282,-6933.432796230487,0.009759599779234348,-0.009301836139055249
S3_PLUS,secondary,3,1e-06,4,23,-0.008789062500000038,92620.90835164243,-11577.6135439553,0,0
S3_PLUS,secondary,3,1e-06,5,25,-0.009033218800188323,89874.61989991291,-22468.65511434238,0.004183502766904532,-0.003725739125883258
S3_PLUS,secondary,3,1e-06,6,27,-0.006836031614803962,77973.52746351597,-9746.691159391365,0.004107265812883483,-0.007050990091302349
S3_PLUS,secondary,3,1e-06,7,33,-0.006835937500000012,76141.36721886776,-4758.835451179235,0,0
S3_PLUS,secondary,3,1e-06,8,35,-0.00830078124999995,79498.34981747907,-9937.293727184886,0,0
S3_PLUS,secondary,3,1e-06,9,37,-0.004882812499999989,61493.10618412498,-3843.319136507811,0,0
S3_MINUS,secondary,3,-1e-06,1,7,-0.01464843749999994,125579.6480796808,-7848.72800498005,0,0
S3_MINUS,secondary,3,-1e-06,2,11,-0.01123037482589142,110625.1063385868,-13828.13810130474,-0.009339492645710795,0.004564812670034081
S3_MINUS,secondary,3,-1e-06,3,15,-0.0126947500000296,110927.8706493025,-6932.991763398613,-0.009758934561658607,0.009301170857142825
S3_MINUS,secondary,3,-1e-06,4,23,-0.008789062500000038,92620.79086712006,-11577.59885839001,0,0
S3_MINUS,secondary,3,-1e-06,5,25,-0.009033187449815372,89873.91525636455,-22468.4786747071,-0.004183399902835622,0.003725636199353351
S3_MINUS,secondary,3,-1e-06,6,27,-0.006835843385193469,77971.29675485574,-9746.411867775292,-0.004107048965936149,0.007050674132943211
S3_MINUS,secondary,3,-1e-06,7,33,-0.006835937500000012,76141.34762488466,-4758.834226555291,0,0
