contact_pressure,contact_opening,shear_1,shear_2,normal_force_x,normal_force_y,normal_force_z,shear_force_x,shear_force_y,shear_force_z,heat_flow,id,x,y,z,current_x,current_y,current_z,generated,slip_1,slip_2,tangent_1_x,tangent_1_y,tangent_1_z,tangent_2_x,tangent_2_y,tangent_2_z
92062.07843397024,-9.178127167391286e-06,5.974968508535711e-06,184.1241568679403,-3.8270819889899e-12,0.01521473435474951,-6.742896987968101e-08,-2.71082690558909e-08,-8.863030161540323e-07,3.102569350347324e-05,114508.2059851343,741,2.522772406243548e-19,0.0041200000000000004,0.0050000000000000001,-1.7777253233126481e-15,0.004121806189075412,0.0055999999999999999,0,-3.05765813962884e-11,0.0005239278672676662,1,2.638381895193026e-13,-1.542908074311993e-16,-4.548503671155379e-14,6.556867033153785e-07,0.9999999999997851
92061.98175101166,-9.178117753807689e-06,-1.797895118556576e-06,184.1239635020233,-0.005822422042766803,0.01405657626377962,-6.742550776368867e-08,3.14127487578544e-07,-8.292093151578072e-07,3.102567958689362e-05,114507.8065452881,760,-0.0015766557413441698,0.0038063836739465019,0.0050000000000000001,-0.0015773469460397291,0.0038080523620758993,0.0055999999999999999,0,-3.999677100912455e-11,0.0005239278673018242,0.9238795276402384,0.3826834441248409,-3.020318910600286e-11,-2.509510373227894e-07,6.059353895441973e-07,0.9999999999997849
92061.87949521982,-9.178107710261341e-06,5.976162250776005e-06,184.1237589904395,-0.01075843242089365,0.01075843242632936,-6.742477611593913e-08,6.075393243091493e-07,-6.458761400949919e-07,3.102566623433106e-05,114507.34787587,761,-0.0029132799384885759,0.0029132799384885763,0.0050000000000000001,-0.0029145570927526223,0.00291455709275011,0.0055999999999999999,0,-3.057454639838702e-11,0.0005239278673695958,0.7071067811863637,0.7071067811867312,-3.097599395488993e-16,-4.636516012152261e-07,4.636515369207002e-07,0.9999999999997849
92061.98136681061,-9.178117712822843e-06,1.37492021875004e-05,184.1239627336205,-0.01405657624780111,0.005822422036107008,-6.742550762028686e-08,8.084614853920436e-07,-3.642169636558298e-07,3.10256795515795e-05,114507.8065445282,762,-0.0038063836739465019,0.0015766557413441705,0.0050000000000000001,-0.0038080523620772628,0.0015773469460364467,0.0055999999999999999,0,-2.115536850877259e-11,0.0005239278673018017,0.3826834441243593,0.9238795276404378,3.020237789149301e-11,-6.059354250251496e-07,2.5095095403074e-07,0.9999999999997849
92062.07843396705,-9.178127167391266e-06,8.211468185801507e-06,160.8400068713656,-0.01521473435474935,-3.826967930921354e-12,-6.74289698796235e-08,8.863030161540414e-07,-2.710826905587567e-08,3.102569350347291e-05,114508.2059851334,763,-0.0041200000000000004,5.0455448124870961e-19,0.0050000000000000001,-0.004121806189075412,-1.7774815894332693e-15,0.0055999999999999999,0,-3.057658138681041e-11,0.0005239278672676629,-2.63020503981629e-13,0.9999999999999999,-3.289811159281973e-16,-6.556867032187912e-07,-4.531836748335798e-14,0.9999999999997852
92061.98175100854,-9.178117753807375e-06,6.523643378966207e-07,-188.9888183978138,-0.01405657626377927,-0.005822422042766762,-6.742550776449517e-08,8.292093151578553e-07,3.141274875784032e-07,3.102567958689295e-05,114507.8065452885,782,-0.0038063836739465019,-0.0015766557413441696,0.0050000000000000001,-0.0038080523620758993,-0.0015773469460397288,0.0055999999999999999,0,3.999677113875424e-11,-0.0005239278673018229,0.3826834441248413,-0.923879527640238,3.020302981061191e-11,6.05935389920161e-07,2.509510377385064e-07,-0.9999999999997848
92061.87949521838,-9.178107710261216e-06,-5.976163264803406e-06,-184.1237589904366,-0.01075843242632942,-0.01075843242089369,-6.742477611340488e-08,6.458761400950728e-07,6.075393243089764e-07,3.102566623433121e-05,114507.3478758686,783,-0.0029132799384885767,-0.0029132799384885754,0.0050000000000000001,-0.0029145570927501105,-0.0029145570927526219,0.0055999999999999999,0,3.057454568845054e-11,-0.0005239278673695954,0.7071067811867312,-0.7071067811863638,2.083617641645655e-16,4.636515373706294e-07,4.636516015887684e-07,-0.9999999999997851
92061.98136681053,-9.178117712823049e-06,-1.374920406899645e-05,-184.1239627336204,-0.005822422036106991,-0.01405657624780105,-6.742550761891106e-08,3.642169636558945e-07,8.084614853921095e-07,3.102567955157938e-05,114507.8065445282,784,-0.0015766557413441707,-0.0038063836739465019,0.0050000000000000001,-0.001577346946036447,-0.0038080523620772628,0.0055999999999999999,0,2.115536778158028e-11,-0.0005239278673018026,0.9238795276404381,-0.3826834441243584,-3.02023868073139e-11,2.509509539504519e-07,6.059354249007263e-07,-0.9999999999997848
92062.07843397185,-9.178127167391373e-06,-5.974967544157616e-06,-184.1241568679435,3.827034609354962e-12,-0.01521473435474948,-6.742896987924445e-08,2.710826905586516e-08,8.863030161540887e-07,3.102569350347318e-05,114508.2059851334,785,-7.5683172187306446e-19,-0.0041200000000000004,0.0050000000000000001,1.777232256506751e-15,-0.004121806189075412,0.0055999999999999999,0,3.057658178611717e-11,-0.0005239278672676649,1,2.629450253166135e-13,4.777439791546873e-16,-4.51729129713863e-14,6.556867031805662e-07,-0.9999999999997851
92061.98175100911,-9.178117753807508e-06,1.79789590816121e-06,-184.1239635020182,0.005822422042766671,-0.01405657626377936,-6.742550776347514e-08,-3.141274875784825e-07,8.292093151577791e-07,3.102567958689302e-05,114507.806545289,799,0.0015766557413441694,-0.0038063836739465019,0.0050000000000000001,0.0015773469460397286,-0.0038080523620758993,0.0055999999999999999,0,3.999677200191172e-11,-0.0005239278673018249,0.9238795276402384,0.3826834441248406,3.020307210625841e-11,-2.509510376945705e-07,6.05935389915831e-07,-0.9999999999997849
92061.87949521941,-9.178107710261401e-06,-5.976163828042597e-06,-184.1237589904387,0.01075843242089375,-0.01075843242632932,-6.742477611414497e-08,-6.075393243091337e-07,6.458761400949992e-07,3.102566623433115e-05,114507.3478758691,800,0.0029132799384885754,-0.0029132799384885767,0.0050000000000000001,0.0029145570927526219,-0.0029145570927501105,0.0055999999999999999,0,3.057454638651596e-11,-0.0005239278673695964,0.7071067811863638,0.7071067811867312,2.353255070383697e-16,-4.636516015757871e-07,4.636515373803794e-07,-0.9999999999997851
92061.98136681187,-9.178117712822846e-06,-1.489473666452209e-05,-188.9888183978138,0.01405657624780147,-0.005822422036107174,-6.742550762029267e-08,-8.084614853921042e-07,3.64216963655912e-07,3.102567955158031e-05,114507.8065445282,801,0.0038063836739465019,-0.0015766557413441709,0.0050000000000000001,0.0038080523620772628,-0.0015773469460364472,0.0055999999999999999,0,2.115536705339162e-11,-0.000523927867301802,0.3826834441243589,0.9238795276404379,-3.020226526064947e-11,-6.059354247572203e-07,2.509509540079902e-07,-0.9999999999997848
46149.08930911208,-4.9540307668348e-06,6.844400294851178e-06,92.29817861822389,-0.018167507705311,-0.003613741999380731,3.156618745799685e-05,6.638095493773431e-07,1.320431609777436e-07,-3.704787968639133e-05,0,1721,0.0039631918369732507,0.00078832787067208501,0,0.0039631918369732507,0.00078832787067208501,0.00059688961070639959,0,5.957436773749314e-12,0.0004155413383283227,0.1950903232595328,-0.9807852801559019,-4.013013032240606e-09,0.001823945091453248,0.0003628011466738182,0.9999982707983206
58415.1862174594,-5.778418568905532e-06,6.255283053129293e-06,101.2041770666755,-0.03861517700698901,-1.583553383907588e-12,5.749254403546231e-05,5.507527201793764e-07,-4.778943832289701e-09,-7.874327757933102e-05,0,1723,0.0041200000000000004,0,0.00031250000000000001,0.0041205914825259461,-3.9226581813199799e-18,0.00090954114533322119,0,1.48947671963904e-12,0.0004152267097241477,5.578291525295943e-15,-0.9999999999999999,-2.666038848408544e-16,0.001480453644314368,1.910896468949021e-16,0.9999989041279029
