stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
5,0.5,1,2,0.7909342574697418,0.2110863086046582,0.2110863086046582,600,300678465.3556004,0.4903374314308167,0.4903374314308167,4.56285420698914e-08,2.256603164200039e-08,6.837322145328478e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172194,-0.0004510176963172196,5.931710469085881e-19,2.933584113460051e-19,8.888518788927021e-20,0.001356965682536197,-0.0006784828412680982,-0.0006784828412680984,7.423851154240436e-19,5.702539974135893e-19,5.680447903846945e-20,0.001356965682536197,0.1250751922569886
5,0.5,1,3,0.2119301955551243,0.7877848284947579,0.2110863086046582,600,300678465.3556004,0.4903374761343002,0.4903374761343002,-2.451431763011202e-08,-1.999155967079476e-09,-4.840763016205366e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.001503392325306989,-0.0004510176963172193,-0.0004510176963172193,-3.186861291914563e-19,-2.598902757203318e-20,-6.292991921066975e-20,0.001356965682536197,-0.0006784828412680984,-0.0006784828412680985,-3.393255245981704e-19,-4.112432365599153e-20,-2.516150730377745e-20,0.001356965682536197,0.1250751922569887
5,0.5,1,4,0.7909342574697418,0.7877848284947579,0.2110863086046582,600,300678465.3556003,0.4903373718261719,0.4903374314308167,1.696019760545262e-08,1.4264075620793e-08,6.28839493008168e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.001503392325306989,-0.0004510176963172196,-0.0004510176963172193,2.204825688708841e-19,1.854329830703091e-19,8.174913409106184e-20,0.001356965682536197,-0.0006784828412680986,-0.0006784828412680985,3.277033500186323e-19,3.510271081478474e-19,4.445877504982894e-20,0.001356965682536197,0.1250751922569886
5,0.5,1,5,0.2119301955551243,0.2110863086046582,0.7877848284947579,600,300678465.3556004,0.4903374314308167,0.4903374314308167,-8.481565578336103e-10,-1.499898073626413e-08,4.923958003041473e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172194,-0.0004510176963172195,-1.102603525183692e-20,-1.949867495714337e-19,6.401145403953916e-20,0.001356965682536197,-0.0006784828412680984,-0.0006784828412680984,-7.172998554288149e-21,-2.628529111714572e-19,8.84544764662349e-20,0.001356965682536197,0.1250751922569886
5,0.5,1,6,0.7909342574697418,0.2110863086046582,0.7877848284947578,600,300678465.3556004,0.4903374761343002,0.4903374761343002,2.250370638387319e-08,6.227054591455509e-09,2.52318762320499e-08,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.001503392325306989,-0.0004510176963172193,-0.0004510176963172193,2.925481829903515e-19,8.095170968892163e-20,3.280143910166488e-19,0.001356965682536197,-0.0006784828412680986,-0.0006784828412680988,3.445813563479687e-19,2.484238425167894e-19,2.140866952261034e-19,0.001356965682536197,0.1250751922569886
5,0.5,1,7,0.2119301955551243,0.7877848284947579,0.7877848284947579,600,300678465.3556004,0.4903374314308167,0.4903374314308167,-2.616100298786104e-08,-7.334205764488902e-09,-2.51748038836675e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172194,-0.0004510176963172195,-3.400930388421936e-19,-9.534467493835575e-20,-3.272724504876779e-20,0.001356965682536197,-0.0006784828412680986,-0.0006784828412680986,-4.013936993640595e-19,-2.89396565559498e-19,5.622190736630123e-21,0.001356965682536197,0.1250751922569886
5,0.5,1,8,0.7909342574697418,0.7877848284947579,0.7877848284947579,600,300678465.3556004,0.4903374761343002,0.4903374761343002,-2.696906234539655e-09,4.166815530550655e-09,2.464488397194952e-08,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172196,-0.0004510176963172194,-3.505978104901552e-20,5.416860189715853e-20,3.203834916353439e-19,0.001356965682536197,-0.0006784828412680988,-0.0006784828412680988,-5.110390603872099e-20,2.027737810873662e-21,2.047769356623223e-19,0.001356965682536198,0.1250751922569886
6,0.6000000000000001,1,1,0.2119879475331519,0.2110575707570432,0.2110575707570432,600,300760352.3959858,0.4917647391557693,0.491764709353447,9.694572039215547e-09,6.506156631321901e-09,-1.80177815145378e-09,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728022,-0.0004511405268728023,1.260294365098021e-19,8.458003620718472e-20,-2.342311596889915e-20,0.001629023840288619,-0.0008145119201443092,-0.0008145119201443097,1.017471930240431e-19,7.675026316095247e-20,4.036377491398516e-20,0.001629023840288619,0.1250752127412239
6,0.6000000000000001,1,2,0.7911497907859782,0.2110575707570432,0.2110575707570432,600,300760352.3959858,0.4917646795511246,0.4917646795511246,4.992443991354428e-08,2.79400366369756e-08,9.429826171499482e-09,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728022,-0.0004511405268728024,6.490177188760757e-19,3.632204762806829e-19,1.225877402294933e-19,0.001629023840288619,-0.0008145119201443095,-0.0008145119201443097,8.777583579541705e-19,6.460680812400798e-19,8.239423300604741e-20,0.001629023840288619,0.1250752127412239
6,0.6000000000000001,1,3,0.2119879475331519,0.7876775773873586,0.2110575707570432,600,300760352.3959857,0.4917646795511246,0.4917646795511246,-2.032749392478005e-09,-1.496228437836159e-08,-1.24138180899638e-08,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728023,-0.0004511405268728024,-2.642574210221406e-20,-1.945096969187007e-19,-1.613796351695294e-19,0.001629023840288619,-0.0008145119201443096,-0.0008145119201443097,-3.443762992718864e-19,-8.074824557524486e-20,-5.884893111658866e-20,0.001629023840288619,0.1250752127412239
6,0.6000000000000001,1,4,0.7911497907859784,0.7876775773873584,0.2110575707570432,600,300760352.3959857,0.4917645901441574,0.491764634847641,3.819711848185073e-08,-6.047107984359566e-08,1.318021610464497e-08,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728024,-0.0004511405268728022,4.965625402640595e-19,-7.861240379667435e-19,1.713428093603846e-19,0.00162902384028862,-0.0008145119201443099,-0.0008145119201443097,4.316348656582414e-19,1.897954053688428e-19,8.022597597414261e-20,0.00162902384028862,0.1250752127412239
6,0.6000000000000001,1,5,0.2119879475331519,0.2110575707570432,0.7876775773873584,600,300760352.3959858,0.4917646795511246,0.4917646795511246,-1.42294676867401e-08,4.222830190332776e-09,-7.785293452182198e-09,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728023,-0.0004511405268728024,-1.849830799276213e-19,5.489679247432609e-20,-1.012088148783686e-19,0.001629023840288619,-0.0008145119201443097,-0.0008145119201443097,-4.487034043258485e-20,-2.509175519694626e-19,6.73274969881966e-20,0.001629023840288619,0.1250752127412239
6,0.6000000000000001,1,6,0.7911497907859784,0.2110575707570432,0.7876775773873584,600,300760352.3959857,0.4917646646499634,0.4917646646499634,-5.473459442764176e-08,2.565671019598649e-08,2.94451670402988e-08,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728022,-0.0004511405268728023,-7.115497275593428e-19,3.335372325478243e-19,3.827871715238845e-19,0.00162902384028862,-0.0008145119201443098,-0.00081451192014431,1.988822933036626e-19,3.184002661096647e-19,2.939921533323015e-19,0.00162902384028862,0.1250752127412239
6,0.6000000000000001,1,7,0.2119879475331519,0.7876775773873586,0.7876775773873586,600,300760352.3959857,0.4917647391557693,0.4917646795511246,-1.421520660450042e-08,4.389851865586034e-09,-1.846956433411523e-08,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728022,-0.0004511405268728024,-1.847976858585055e-19,5.706807425261844e-20,-2.401043363434981e-19,0.001629023840288619,-0.0008145119201443097,-0.0008145119201443097,-4.383833932097297e-19,-2.757183382353559e-19,-4.449873393394689e-20,0.001629023840288619,0.1250752127412239
6,0.6000000000000001,1,8,0.7911497907859784,0.7876775773873586,0.7876775773873584,600,300760352.3959857,0.4917646795511246,0.4917647391557693,-5.462748193488439e-08,-4.462834628122593e-08,3.354139428582655e-08,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504635,-0.0004511405268728022,-0.0004511405268728022,-7.101572651534971e-19,-5.801685016559372e-19,4.360381257157452e-19,0.001629023840288619,-0.0008145119201443099,-0.0008145119201443099,-1.958433498361408e-19,-1.154390874261591e-19,2.957983407119703e-19,0.00162902384028862,0.1250752127412239
7,0.7000000000000001,1,1,0.2120457625280325,0.2110288133145109,0.211028813314511,600,300842328.761658,0.4931971281766891,0.4931970685720444,-2.060678461846851e-09,-4.818870047999013e-09,5.83978969400375e-09,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.001504211642328699,-0.0004512634914162972,-0.0004512634914162973,-2.678882000400907e-20,-6.264531062398717e-20,7.591726602204878e-20,0.001901304518242132,-0.0009506522591210658,-0.0009506522591210664,9.612930618723317e-20,6.339087073643366e-20,5.621987374962209e-20,0.001901304518242132,0.1250752332478077
7,0.7000000000000001,1,2,0.791365559284312,0.2110288133145109,0.211028813314511,600,300842328.7616581,0.4931971281766891,0.4931970685720444,2.002941443456391e-08,8.823464366497234e-09,-6.076543571962375e-10,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.001504211642328699,-0.0004512634914162971,-0.0004512634914162974,2.603823876493307e-19,1.14705036764464e-19,-7.899506643551097e-21,0.001901304518242133,-0.0009506522591210661,-0.0009506522591210665,9.32549629212848e-19,6.699074273519257e-19,8.074434010742092e-20,0.001901304518242133,0.1250752332478076
7,0.7000000000000001,1,3,0.2120457625280325,0.7875702531507325,0.211028813314511,600,300842328.761658,0.4931970983743668,0.4931970983743668,-2.693705056672181e-08,3.049637412233331e-09,-2.07637587060574e-09,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.001504211642328699,-0.0004512634914162974,-0.0004512634914162974,-3.501816573673837e-19,3.964528635903327e-20,-2.699288631787465e-20,0.001901304518242132,-0.0009506522591210661,-0.0009506522591210661,-4.181196948224162e-19,-7.435553815547472e-20,-6.448667198558974e-20,0.001901304518242133,0.1250752332478077
7,0.7000000000000001,1,4,0.791365559284312,0.7875702531507325,0.211028813314511,600,300842328.761658,0.4931970983743668,0.4931970983743668,-4.84695767031107e-09,5.19037895143457e-08,-1.728617596716658e-08,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.001504211642328699,-0.0004512634914162975,-0.0004512634914162975,-6.301044971404394e-20,6.747492636864944e-19,-2.247202875731657e-19,0.001901304518242133,-0.0009506522591210664,-0.0009506522591210661,4.183006282031991e-19,3.255079190325976e-19,3.329084149369384e-20,0.001901304518242133,0.1250752332478076
7,0.7000000000000001,1,5,0.2120457625280325,0.211028813314511,0.7875702531507325,600,300842328.761658,0.4931971281766891,0.4931970685720444,3.454997705977226e-09,-3.084765721725109e-08,1.770656708550386e-08,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.001504211642328699,-0.0004512634914162972,-0.0004512634914162973,4.491497017770397e-20,-4.010195438242641e-19,2.301853721115502e-19,0.001901304518242132,-0.0009506522591210663,-0.0009506522591210664,-3.708723981402538e-20,-3.358750505026841e-19,1.154040703682044e-19,0.001901304518242133,0.1250752332478076
7,0.7000000000000001,1,6,0.791365559284312,0.211028813314511,0.7875702531507325,600,300842328.761658,0.4931970983743668,0.4931970983743668,4.655028069010009e-08,-1.720532280275483e-08,1.228441240242462e-08,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.001504211642328699,-0.0004512634914162975,-0.0004512634914162975,6.051536489713015e-19,-2.23669196435813e-19,1.596973612315202e-19,0.001901304518242133,-0.0009506522591210664,-0.0009506522591210666,3.207296504932661e-19,2.70641506112808e-19,3.273465834397025e-19,0.001901304518242133,0.1250752332478076
7,0.7000000000000001,1,7,0.2120457625280324,0.7875702531507324,0.7875702531507324,600,300842328.761658,0.4931971281766891,0.4931970834732056,-3.217778703158352e-08,-2.673581730061476e-08,9.730650243872178e-09,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.0015042116423287,-0.0004512634914162976,-0.0004512634914162977,-4.18311231410586e-19,-3.475656249079921e-19,1.264984531703384e-19,0.001901304518242133,-0.0009506522591210664,-0.0009506522591210664,-5.287489854588092e-19,-3.519206332946807e-19,-1.807823592178804e-20,0.001901304518242133,0.1250752332478076
7,0.7000000000000001,1,8,0.791365559284312,0.7875702531507325,0.7875702531507324,600,300842328.7616581,0.493197113275528,0.4931970536708832,1.056395581442077e-08,2.136701342996633e-08,-3.946326714926293e-09,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.0015042116423287,-0.0004512634914162976,-0.0004512634914162976,1.3733142558747e-19,2.777711745895624e-19,-5.130224729404189e-20,0.001901304518242133,-0.0009506522591210667,-0.0009506522591210668,-1.730880537133454e-19,-6.44443416149043e-20,2.850833407362288e-19,0.001901304518242133,0.1250752332478076
8,0.8,1,1,0.2121036406602161,0.2110000362476361,0.2110000362476361,600,300924394.6233167,0.4946347773075104,0.4946347773075104,1.264841577610321e-08,1.951525339900282e-08,-5.301692788904328e-09,0.003678430346561789,-0.001538290639895022,-0.001538290639895022,0,0,0,0.00150462197163268,-0.0004513865902037535,-0.0004513865902037535,1.644294050893417e-19,2.536982941870368e-19,-6.892200625575628e-20,0.00217380808082911,-0.001086904040414555,-0.001086904040414555,1.296477314368643e-19,1.15250150382972e-19,4.181695194361868e-20,0.00217380808082911,0.1250752537767826
8,0.8,1,2,0.7915815634142684,0.2110000362476361,0.2110000362476361,600,300924394.6233168,0.494634747505188,0.4946346879005432,7.674802496586349e-08,9.91109338481516e-08,1.469547060130124e-08,0.003678430346561789,-0.001538290639895022,-0.001538290639895022,0,0,0,0.00150462197163268,-0.0004513865902037535,-0.0004513865902037537,9.977243245562252e-19,1.28844214002597e-18,1.910411178169161e-19,0.00217380808082911,-0.001086904040414555,-0.001086904040414555,1.138147024365827e-18,9.349335439710475e-19,1.206670067726665e-19,0.00217380808082911,0.1250752537767826
8,0.8,1,3,0.2121036406602161,0.7874628556750627,0.2110000362476361,600,300924394.6233166,0.494634747505188,0.4946347028017044,-1.500192499459274e-08,-1.508979237475346e-08,-3.319152864136929e-08,0.003678430346561789,-0.001538290639895022,-0.001538290639895022,0,0,0,0.00150462197163268,-0.0004513865902037538,-0.0004513865902037539,-1.950250249297057e-19,-1.961673008717951e-19,-4.31489872337801e-19,0.00217380808082911,-0.001086904040414555,-0.001086904040414555,-4.600344319792967e-19,-1.138613728402964e-19,-1.546569271621748e-19,0.00217380808082911,0.1250752537767826
8,0.8,1,4,0.7915815634142684,0.7874628556750626,0.2110000362476361,600,300924394.6233168,0.4946346879005432,0.4946347326040268,4.909768419516751e-08,-4.395985388867241e-08,2.552940253894229e-08,0.003678430346561789,-0.001538290639895022,-0.001538290639895022,0,0,0,0.00150462197163268,-0.0004513865902037541,-0.0004513865902037538,6.382698945371776e-19,-5.714781005527415e-19,3.318822330062498e-19,0.00217380808082911,-0.001086904040414555,-0.001086904040414555,5.484648609496662e-19,2.106832298405074e-19,1.026456689352063e-19,0.00217380808082911,0.1250752537767826
