id,x,y,z,temperature,displacement_x,displacement_y,displacement_z
75,0.010999999999999999,0.002,0,600,1.42998983304149e-07,-1.968777391049631e-08,-4.3249076687034624e-05
76,0.010999999999999999,0.002,0.00025000000000000001,617.81437321200258,2.2458699443017951e-06,-1.9445442772854107e-07,-4.3234054362169185e-05
77,0.012,0.002,0,600,3.5793401150321541e-07,-1.5203104941118542e-08,-5.1272847255237105e-05
78,0.012,0.002,0.00025000000000000001,628.08034300930308,2.277284103042135e-06,-2.0059971332953563e-07,-5.1260554527760577e-05
79,0.001,0.0030000000000000001,0,600,1.7335868319729623e-07,4.7388526971763499e-22,-1.7053760158630077e-07
80,0,0.0030000000000000001,0,600,9.8301518791053532e-37,7.2922517862704376e-37,1.3453011686278437e-37
81,0.001,0.0030000000000000001,0.00025000000000000001,618.94428995824319,3.0859376350851282e-07,-3.5263863061219773e-22,-2.0793355581796364e-07
82,0,0.0030000000000000001,0.00025000000000000001,627.59025311552205,8.7673124036172398e-37,3.5648294121448334e-37,-8.9676097997381326e-37
83,0.002,0.0030000000000000001,0,600,1.7568614637774689e-07,-2.48546594172308e-22,-8.3896293185025213e-07
84,0.002,0.0030000000000000001,0.00025000000000000001,607.59500916260072,4.2973556130838609e-07,1.5080456643293146e-22,-9.2031750135939678e-07
85,0.0030000000000000001,0.0030000000000000001,0,600,1.5263975124321486e-07,1.2789118609376383e-21,-2.4121319565977059e-06
86,0.0030000000000000001,0.0030000000000000001,0.00025000000000000001,610.06401588921597,7.4760370934641695e-07,4.3642660121210222e-22,-2.4631911612444075e-06
87,0.0040000000000000001,0.0030000000000000001,0,600,8.9579430322722857e-08,-5.1090720073225329e-22,-4.8142720863506017e-06
88,0.0040000000000000001,0.0030000000000000001,0.00025000000000000001,609.52832481569942,7.3049892529908284e-07,1.5935871797886811e-22,-4.8928432062851107e-06
89,0.0050000000000000001,0.0030000000000000001,0,600,8.9333411880244611e-08,1.5528499418276309e-21,-8.0433084639943401e-06
90,0.0050000000000000001,0.0030000000000000001,0.00025000000000000001,609.64532591883824,1.0798546960590244e-06,1.1354243027714876e-21,-8.0915666487897963e-06
91,0.0060000000000000001,0.0030000000000000001,0,600,8.501132180442619e-08,1.2731082817072124e-21,-1.1989137979169253e-05
92,0.0060000000000000001,0.0030000000000000001,0.00025000000000000001,609.61491950198069,1.0873907784805338e-06,6.9558949033186799e-23,-1.2062633414148475e-05
93,0.007000000000000001,0.0030000000000000001,0,600,9.5342461289028062e-08,3.6283482546323153e-22,-1.6714370448971858e-05
94,0.007000000000000001,0.0030000000000000001,0.00025000000000000001,609.64532591883813,1.4538490416869525e-06,1.1612441843659883e-21,-1.6764598552100344e-05
95,0.0080000000000000002,0.0030000000000000001,0,600,1.2601832187419871e-07,3.2471551364800629e-21,-2.2131013538097217e-05
96,0.0080000000000000002,0.0030000000000000001,0.00025000000000000001,609.52832481569942,1.4860188932355627e-06,6.6735249400437803e-22,-2.2197711880919387e-05
97,0.0090000000000000011,0.0030000000000000001,0,600,1.294947582676505e-07,-9.9619506298787397e-22,-2.8306030132978601e-05
98,0.0090000000000000011,0.0030000000000000001,0.00025000000000000001,610.06401588921597,1.8493018535223202e-06,-1.2603437583146789e-21,-2.8360385465682491e-05
99,0.01,0.0030000000000000001,0,600,1.9562409458521787e-07,6.9487566943361335e-21,-3.5188464875992758e-05
100,0.01,0.0030000000000000001,0.00025000000000000001,607.59500916260072,1.9178179220922458e-06,2.6053758982725955e-21,-3.5252903359691834e-05
101,0.010999999999999999,0.0030000000000000001,0,600,1.7779865846178404e-07,7.3490119308806435e-22,-4.2860107626435995e-05
102,0.010999999999999999,0.0030000000000000001,0.00025000000000000001,618.94428995824319,2.2821218916689769e-06,8.1862730504276652e-22,-4.2880098305569546e-05
103,0.012,0.0030000000000000001,0,600,3.1312894973626809e-07,1.4229285654455561e-21,-5.0928732852652862e-05
104,0.012,0.0030000000000000001,0.00025000000000000001,627.59025311552193,2.2624272143374524e-06,2.7671105345785047e-21,-5.0914962167413852e-05
105,0.001,0.0040000000000000001,0,600,1.080598433210135e-07,1.2554897886530933e-07,-2.8849445156031321e-07
106,0,0.0040000000000000001,0,600,1.5339679934143656e-37,7.6190685033641085e-37,-1.3488232485919056e-37
107,0.001,0.0040000000000000001,0.00025000000000000001,617.81437321200269,1.9360961074056055e-07,1.8911657451060266e-07,-2.6537409905430973e-07
108,0,0.0040000000000000001,0.00025000000000000001,628.08034300930319,6.4540162561717686e-37,1.7011694528471793e-36,-9.9582572264426323e-37
109,0.002,0.0040000000000000001,0,600,2.1577999654771588e-07,1.6762611835050072e-07,-1.0803408412623444e-06
110,0.002,0.0040000000000000001,0.00025000000000000001,603.89219258505068,4.887253922540638e-07,2.6701962002048085e-07,-1.0820695211907021e-06
111,0.0030000000000000001,0.0040000000000000001,0,600,5.7915226107046163e-08,1.6403819317923452e-07,-2.7600576550904901e-06
112,0.0030000000000000001,0.0040000000000000001,0.00025000000000000001,606.95103468034688,5.7839507360690182e-07,3.1704809544579659e-07,-2.7221034333213832e-06
113,0.0040000000000000001,0.0040000000000000001,0,600,1.4709097739868009e-07,1.1010346496655797e-07,-5.2081646846706415e-06
114,0.0040000000000000001,0.0040000000000000001,0.00025000000000000001,606.27981376695277,8.205748746962966e-07,2.9293341993070914e-07,-5.2104510763342573e-06
115,0.0050000000000000001,0.0040000000000000001,0,600,1.3537738796318588e-08,9.6561096165435399e-08,-8.4698249005152907e-06
116,0.0050000000000000001,0.0040000000000000001,0.00025000000000000001,606.42830065474766,9.541060993675404e-07,2.8287062228170937e-07,-8.4359601545871508e-06
