case	metric	value
b124_cax8rt_small_coupled	rz_stress_tensor_zero_reference_count	0
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_elastic_tensor_relative_l2	1.239067048268e-11
b124_cax8rt_small_coupled	rz_elastic_tensor_relative_absolute_peak	1.510429236935e-11
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_pointwise_relative	3.677869344212e-11
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_pointwise_relative_index	4
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_pointwise_actual_norm	3.990623399570e-04
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_pointwise_reference_norm	3.990623399593e-04
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_difference_index	4
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_absolute_group_difference	1.467699146566e-14
b124_cax8rt_small_coupled	rz_elastic_tensor_zero_reference_count	0
b124_cax8rt_small_coupled	rz_elastic_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_plastic_tensor_relative_l2	1.703925487218e-12
b124_cax8rt_small_coupled	rz_plastic_tensor_relative_absolute_peak	2.882561815499e-12
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_pointwise_relative	2.882561815499e-12
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_pointwise_relative_index	17
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_pointwise_actual_norm	1.089449183172e-02
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_pointwise_reference_norm	1.089449183174e-02
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_difference_index	17
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_absolute_group_difference	3.140404615344e-14
b124_cax8rt_small_coupled	rz_plastic_tensor_zero_reference_count	0
b124_cax8rt_small_coupled	rz_plastic_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_creep_tensor_relative_l2	4.147617657756e-12
b124_cax8rt_small_coupled	rz_creep_tensor_relative_absolute_peak	5.579683150344e-12
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_pointwise_relative	5.671050986308e-12
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_pointwise_relative_index	15
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_pointwise_actual_norm	1.171179218699e-04
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_pointwise_reference_norm	1.171179218693e-04
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_difference_index	19
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_absolute_group_difference	1.436121026487e-15
b124_cax8rt_small_coupled	rz_creep_tensor_zero_reference_count	0
b124_cax8rt_small_coupled	rz_creep_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_relative_l2	1.396027145391e-12
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_relative_absolute_peak	1.784585923822e-12
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative	2.561533292851e-12
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative_index	15
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative_actual	7.181248742948e-03
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative_reference	7.181248742930e-03
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_absolute_difference_index	15
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_absolute_difference_actual	7.181248742948e-03
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_absolute_difference_reference	7.181248742930e-03
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_zero_reference_count	0
b124_cax8rt_small_coupled	rz_equivalent_plastic_strain_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_relative_l2	3.564410182327e-12
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_relative_absolute_peak	5.428023756085e-12
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative	5.632888235829e-12
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative_index	5
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative_actual	8.966727641388e-06
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative_reference	8.966727641337e-06
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_absolute_difference_index	19
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_absolute_difference_actual	2.101531352831e-04
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_absolute_difference_reference	2.101531352820e-04
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_zero_reference_count	0
b124_cax8rt_small_coupled	rz_equivalent_creep_strain_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_accepted_frames	5
b1212_cax8rt_small_friction	rz_temperature_relative_l2	7.248408031311e-17
b1212_cax8rt_small_friction	rz_temperature_relative_absolute_peak	1.894780628694e-16
b1212_cax8rt_small_friction	rz_temperature_maximum_pointwise_relative	3.789561257387e-16
b1212_cax8rt_small_friction	rz_temperature_maximum_pointwise_relative_index	135
b1212_cax8rt_small_friction	rz_temperature_maximum_pointwise_relative_actual	6.000000000000e+02
b1212_cax8rt_small_friction	rz_temperature_maximum_pointwise_relative_reference	6.000000000000e+02
b1212_cax8rt_small_friction	rz_temperature_maximum_absolute_difference_index	135
b1212_cax8rt_small_friction	rz_temperature_maximum_absolute_difference_actual	6.000000000000e+02
b1212_cax8rt_small_friction	rz_temperature_maximum_absolute_difference_reference	6.000000000000e+02
b1212_cax8rt_small_friction	rz_temperature_zero_reference_count	0
b1212_cax8rt_small_friction	rz_temperature_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_displacement_relative_l2	2.844947324665e-12
b1212_cax8rt_small_friction	rz_displacement_relative_absolute_peak	1.126442223434e-11
b1212_cax8rt_small_friction	rz_displacement_maximum_pointwise_relative	1.068274598024e-09
b1212_cax8rt_small_friction	rz_displacement_maximum_pointwise_relative_index	10
b1212_cax8rt_small_friction	rz_displacement_maximum_pointwise_actual_norm	6.950543051884e-09
b1212_cax8rt_small_friction	rz_displacement_maximum_pointwise_reference_norm	6.950543044472e-09
b1212_cax8rt_small_friction	rz_displacement_maximum_difference_index	3
b1212_cax8rt_small_friction	rz_displacement_maximum_absolute_group_difference	2.322220134188e-16
