step,side,local_node,node_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
OPEN,secondary,4,61,9.99999999999364e-05,0,0,0,0
OPEN,secondary,5,68,9.999999999995916e-05,0,0,0,0
OPEN,secondary,6,72,9.999999999999976e-05,0,0,0,0
OPEN,secondary,7,76,0.0001000000000000057,0,0,0,0
OPEN,secondary,8,69,0.0001000000000000191,0,0,0,0
OPEN,primary,1,2,,0,0,0,0
OPEN,primary,2,3,,0,0,0,0
OPEN,primary,3,7,,0,0,0,0
OPEN,primary,4,6,,0,0,0,0
OPEN,primary,5,10,,0,0,0,0
OPEN,primary,6,15,,0,0,0,0
OPEN,primary,7,18,,0,0,0,0
OPEN,primary,8,14,,0,0,0,0
OPEN,primary,9,21,,0,0,0,0
OPEN,primary,10,23,,0,0,0,0
OPEN,primary,11,25,,0,0,0,0
OPEN,primary,12,28,,0,0,0,0
OPEN,primary,13,30,,0,0,0,0
OPEN,primary,14,33,,0,0,0,0
OPEN,primary,15,35,,0,0,0,0
OPEN,primary,16,37,,0,0,0,0
OPEN,primary,17,40,,0,0,0,0
OPEN,primary,18,42,,0,0,0,0
OPEN,primary,19,45,,0,0,0,0
OPEN,primary,20,47,,0,0,0,0
OPEN,primary,21,49,,0,0,0,0
OPEN,primary,22,52,,0,0,0,0
OPEN,primary,23,54,,0,0,0,0
RECLOSE,secondary,1,57,-0.0001000000000000415,10000.00000000281,-999.9999999999745,-2.479234370795782e-14,-1.480790439310719e-13
RECLOSE,secondary,2,60,-0.0001000000000000032,10000.00000000112,-1000.000000000032,3.233515093718174e-14,-5.24884306366855e-14
RECLOSE,secondary,3,64,-0.0001000000000000115,9999.999999999894,-1000.000000000072,7.182047643919464e-14,-2.539921055036616e-14
RECLOSE,secondary,4,61,-0.0001000000000000636,10000.00000000295,-999.9999999999766,-2.294665537556524e-14,1.112320100536022e-14
RECLOSE,secondary,5,68,-0.0001000000000000407,10000.00000000196,4000.00000000054,-5.411093118947146e-13,1.745005414524768e-13
RECLOSE,secondary,6,72,-0.0001000000000000002,10000.00000000051,4000.000000000226,-2.288881982761093e-13,3.518644398973807e-13
RECLOSE,secondary,7,76,-9.999999999999419e-05,10000.00000000142,4000.000000000112,-1.141891453871324e-13,5.291839338879515e-13
RECLOSE,secondary,8,69,-9.999999999998083e-05,10000.00000000288,4000.000000000172,-1.742054656947885e-13,2.245453672274359e-13
RECLOSE,primary,1,2,,4148.630299469747,147.2095544247019,-1.115285350218309e-14,1.939618770996117e-16
RECLOSE,primary,2,3,,10000.00000000635,398.302157537958,5.502399654592153e-14,7.286825275898281e-14
RECLOSE,primary,3,7,,10000.00000000635,398.3021575379548,5.834477596011622e-14,-5.903092351025583e-14
RECLOSE,primary,4,6,,4148.630299469641,147.2095544247048,-1.397497884338623e-14,1.067187607653897e-14
RECLOSE,primary,5,10,,7492.270128345422,-367.1695980284678,4.014796094486151e-14,1.044109685019283e-14
RECLOSE,primary,6,15,,10000.00000000635,-2518.612670117048,7.514378009398544e-14,-1.033804641778285e-13
RECLOSE,primary,7,18,,7492.270128346347,-367.1695980284837,5.600645977192505e-14,-4.694006660644082e-14
RECLOSE,primary,8,14,,4148.630299469694,-154.2673562006046,8.258746070483069e-15,-4.274250794750692e-15
RECLOSE,primary,9,21,,4234.949352720208,841.651308566998,4.260548811377559e-14,8.98620703543078e-14
RECLOSE,primary,10,23,,4234.949352719568,841.6513085671357,-9.480810927762231e-14,2.031521584574098e-14
RECLOSE,primary,11,25,,7529.264008309914,-1691.593977306891,2.181395246695844e-13,-3.612798042632152e-14
RECLOSE,primary,12,28,,4234.949352719888,-3306.495688860375,2.030707620899081e-13,-2.62749432975994e-13
RECLOSE,primary,13,30,,7529.264008310252,-1691.593977306696,2.398931467085098e-14,-2.067246127148146e-13
RECLOSE,primary,14,33,,9953.186097490125,344.1246384763695,-2.970836764876841e-14,2.189149956131414e-14
RECLOSE,primary,15,35,,9953.186097490674,344.1246384763656,-2.518915790096701e-14,5.751212302404618e-15
RECLOSE,primary,16,37,,7529.264008309046,-1656.018457449244,2.177130434901074e-13,-1.304706629956852e-13
RECLOSE,primary,17,40,,9953.186097490399,-2014.101187126465,1.162695664975949e-13,-2.049404460937057e-13
RECLOSE,primary,18,42,,7529.26400830899,-1656.018457449086,5.978055811855166e-14,-2.356492982673447e-13
RECLOSE,primary,19,45,,117.0560332338932,9.625820545054944,-4.887458432993798e-16,1.538383087923482e-15
RECLOSE,primary,20,47,,117.0560332338932,9.625820545055218,-6.074784755306565e-16,1.767073422696247e-15
