time,field,node,component,value
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.30000001192092896,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,1,0.0
0.30000001192092896,COPEN    SECONDARY_ONE/PRIMARY_ONE,2,0,3.999999999999591e-06
0.30000001192092896,COPEN    SECONDARY_ONE/PRIMARY_ONE,3,0,3.999999999999591e-06
0.30000001192092896,COPEN    SECONDARY_TWO/PRIMARY_TWO,10,0,4.299999999999591e-06
0.30000001192092896,COPEN    SECONDARY_TWO/PRIMARY_TWO,11,0,4.300000000000459e-06
0.30000001192092896,CPRESS   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.30000001192092896,CPRESS   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.30000001192092896,CPRESS   SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.30000001192092896,CPRESS   SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.30000001192092896,CPRESS   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.30000001192092896,CPRESS   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.30000001192092896,CPRESS   SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.30000001192092896,CPRESS   SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.30000001192092896,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.30000001192092896,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,16,1,0.0
0.30000001192092896,CSLIP1   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.30000001192092896,CSLIP1   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.30000001192092896,CSLIP1   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.30000001192092896,CSLIP1   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.30000001192092896,HFL      SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.30000001192092896,HFL      SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.30000001192092896,HFL      SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.30000001192092896,HFL      SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.4000000059604645,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.4000000059604645,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,1,0.0
0.4000000059604645,COPEN    SECONDARY_ONE/PRIMARY_ONE,2,0,1.9999999999995895e-06
0.4000000059604645,COPEN    SECONDARY_ONE/PRIMARY_ONE,3,0,1.9999999999995912e-06
0.4000000059604645,COPEN    SECONDARY_TWO/PRIMARY_TWO,10,0,2.3999999999995916e-06
0.4000000059604645,COPEN    SECONDARY_TWO/PRIMARY_TWO,11,0,2.400000000000459e-06
0.4000000059604645,CPRESS   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.4000000059604645,CPRESS   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.4000000059604645,CPRESS   SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.4000000059604645,CPRESS   SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.4000000059604645,CPRESS   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.4000000059604645,CPRESS   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.4000000059604645,CPRESS   SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.4000000059604645,CPRESS   SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.4000000059604645,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
0.4000000059604645,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
0.4000000059604645,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
0.4000000059604645,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.4000000059604645,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
